model,mean,std,score
0,0.6911142582627796,0.02244749359851788,accuracy
1,0.9916682918556285,0.002057943610519771,accuracy
2,0.8236277657803391,0.011114019145438466,accuracy
3,0.7192043023097215,0.02026431551047728,accuracy
4,0.6971819142570697,0.025497299044541132,accuracy
5,0.820527928217049,0.011036944059488027,accuracy
6,0.82405105612322,0.011354637989029564,accuracy
7,0.7170863009043446,0.01939808818829964,accuracy
8,0.6932191556010531,0.021473904055069288,accuracy
9,0.7151304242589372,0.019343724753577086,accuracy
10,0.7196461535254862,0.02016221567788841,accuracy
11,0.719203728326103,0.02026352534707797,accuracy
12,0.9189025555269266,0.008196922659787957,accuracy
13,0.7170863009043446,0.01939808818829964,accuracy
14,0.820085683603172,0.011704715049315055,accuracy
15,0.7177940707777697,0.020046818692286427,accuracy
16,0.7866963935534811,0.014405988827191341,accuracy
17,0.9754877810401099,0.0028802275343071987,accuracy
18,0.9733757619473845,0.002860743830331787,accuracy
19,0.6932191556010531,0.021473904055069288,accuracy
20,0.7843847525299567,0.013154241008617427,accuracy
21,0.8197844506265547,0.011863460577133786,accuracy
22,0.8241592109943964,0.01089869035211211,accuracy
23,0.9383188281228237,0.007627146981414645,accuracy
24,0.7179181211841814,0.02025892093586994,accuracy
25,0.9286082901520458,0.007549482538770914,accuracy
26,0.6911142582627796,0.02244749359851788,accuracy
27,0.9768256451580666,0.0029650054051889325,accuracy
28,0.7861391622193941,0.014340735437867656,accuracy
29,0.6927148789981028,0.022952580518262374,accuracy
30,0.822069982461751,0.012124064426315723,accuracy
31,0.9289552670710062,0.008108236342463169,accuracy
32,0.8239468850333473,0.011760986247214488,accuracy
33,0.7146882602612707,0.01981079673864914,accuracy
34,0.7830791476491352,0.014537360751695934,accuracy
35,0.8210361359411238,0.010759944057288395,accuracy
36,0.696527748997414,0.024510874840746908,accuracy
37,0.7196333400896353,0.020664507855112695,accuracy
38,0.988067534946628,0.0023846694713703953,accuracy
39,0.786524877720749,0.01399579886169172,accuracy
40,0.696527748997414,0.024510874840746908,accuracy
41,0.8256832062337155,0.010685758536063183,accuracy
42,0.9193508529594709,0.008231088870728657,accuracy
43,0.8232125067633739,0.011023449751007369,accuracy
44,0.7848148776892951,0.01417416565384557,accuracy
45,0.7830827040699169,0.014333809668176791,accuracy
46,0.7835755026949062,0.014379835329709996,accuracy
47,0.697376673359964,0.026443042534070513,accuracy
48,0.697376673359964,0.026443042534070513,accuracy
49,0.9904163558059951,0.002218823438586963,accuracy
0,0.6691696335583128,0.012693603337295392,balanced_accuracy
1,0.9920679155713368,0.0017148043389136136,balanced_accuracy
2,0.8220375677292944,0.008618909511957437,balanced_accuracy
3,0.7090552739711201,0.011346091237818427,balanced_accuracy
4,0.6632421135469693,0.01850968751976929,balanced_accuracy
5,0.8165275182592125,0.008281232307640487,balanced_accuracy
6,0.8227975798745083,0.008543999567995631,balanced_accuracy
7,0.7031295169804214,0.01266290829013739,balanced_accuracy
8,0.6643281252295206,0.017322110049088832,balanced_accuracy
9,0.7042775505611903,0.012461646714599975,balanced_accuracy
10,0.7096608722189266,0.011491881701019457,balanced_accuracy
11,0.709054885138396,0.011345193648544473,balanced_accuracy
12,0.9160110050401571,0.008108671866597784,balanced_accuracy
13,0.7031295169804214,0.01266290829013739,balanced_accuracy
14,0.8162679480255663,0.00858441977046676,balanced_accuracy
15,0.7048931865446552,0.012604531773810438,balanced_accuracy
16,0.7848358551501562,0.00957348826654457,balanced_accuracy
17,0.9804663695135837,0.0024248089496480317,balanced_accuracy
18,0.9786201403602979,0.0024064516035866355,balanced_accuracy
19,0.6643281252295206,0.017322110049088832,balanced_accuracy
20,0.782190336376475,0.00897837248702922,balanced_accuracy
21,0.8163097680001439,0.009061412109692463,balanced_accuracy
22,0.8207629015913891,0.008259296877596087,balanced_accuracy
23,0.9414032886260186,0.007373286091493512,balanced_accuracy
24,0.7071440052850119,0.012461800573938208,balanced_accuracy
25,0.9316581687530748,0.007441055513430567,balanced_accuracy
26,0.6691696335583128,0.012693603337295392,balanced_accuracy
27,0.9768417874229766,0.002751632203157741,balanced_accuracy
28,0.7839193369017435,0.00879216824431855,balanced_accuracy
29,0.6639742711068645,0.01794077922646108,balanced_accuracy
30,0.8200485262996444,0.009197977565840686,balanced_accuracy
31,0.9265915966464014,0.007697401640197006,balanced_accuracy
32,0.8224353560933537,0.009026136398788126,balanced_accuracy
33,0.7051620578005837,0.012358018117126064,balanced_accuracy
