model,mean,std,score
0,0.6023892139822973,0.03538382582973699,accuracy
1,0.9933633318048783,0.003453640232035318,accuracy
2,0.798085678564855,0.010898252117970663,accuracy
3,0.6506822088515694,0.026602118800312765,accuracy
4,0.6083075478130002,0.03421160668546994,accuracy
5,0.7906026431701136,0.011286340495517492,accuracy
6,0.7962205004460907,0.01095517641639699,accuracy
7,0.6473468856525892,0.02332209432768126,accuracy
8,0.6107794953940046,0.03570991151412868,accuracy
9,0.6508097432012435,0.025064779666194296,accuracy
10,0.6509938744354078,0.025032063862703013,accuracy
11,0.6507652125981609,0.026404369763690094,accuracy
12,0.9125615737006624,0.00690242764916546,accuracy
13,0.6473468856525892,0.02332209432768126,accuracy
14,0.7909512429558203,0.010462212295040548,accuracy
15,0.6475060180923154,0.02373152040585175,accuracy
16,0.7403039665169999,0.01403706286294151,accuracy
17,0.9742256356062734,0.00354483954915494,accuracy
18,0.9717177796512286,0.004262951709485102,accuracy
19,0.6107794953940046,0.03570991151412868,accuracy
20,0.7372671802714655,0.014175694754225492,accuracy
21,0.7875315686793829,0.011164608192919128,accuracy
22,0.7927954809079686,0.011600945797130904,accuracy
23,0.9440831560086962,0.006451356481670082,accuracy
24,0.6516792476986977,0.026570719154159157,accuracy
25,0.930361362315635,0.005923131703091064,accuracy
26,0.6023892139822973,0.03538382582973699,accuracy
27,0.9730898862195337,0.0036492836226575164,accuracy
28,0.7383460278112655,0.013355545686794893,accuracy
29,0.6103170519151169,0.03565116564474515,accuracy
30,0.7937661622747794,0.010753538588201253,accuracy
31,0.9284613952537856,0.007178889629913062,accuracy
32,0.795195784295683,0.010963896085737038,accuracy
33,0.6509783934763451,0.026104467838903498,accuracy
34,0.7358805631575567,0.013769058931041703,accuracy
35,0.7908242556436956,0.011126041638334366,accuracy
36,0.6078643100414604,0.03348902288498558,accuracy
37,0.6506764130842702,0.02645821155119183,accuracy
38,0.990596346747967,0.0041112117866093055,accuracy
39,0.7405984035643468,0.014152029838226792,accuracy
40,0.6078643100414604,0.03348902288498558,accuracy
41,0.7989793885465619,0.010996126452748322,accuracy
42,0.9149480265887142,0.005463160780861726,accuracy
43,0.7922075412759162,0.01074493014809777,accuracy
44,0.7382095116145355,0.013678389294961976,accuracy
45,0.7365615861263554,0.01359215664775711,accuracy
46,0.737935401657688,0.014287257980265708,accuracy
47,0.6082191666926888,0.0336059319266116,accuracy
48,0.6082191666926888,0.0336059319266116,accuracy
49,0.9922642273704834,0.003596809775673563,accuracy
0,0.6226141234244054,0.012192449825845605,balanced_accuracy
