model,mean,std,score
0,0.7490555262049823,0.0029496873170257215,accuracy
1,0.9472646862008632,0.003973524556877371,accuracy
2,0.7534832157686359,0.003706429231608712,accuracy
3,0.7501946439927373,0.003564515471024922,accuracy
4,0.8508385283923199,0.0060628376457441,accuracy
5,0.9731860340243417,0.00337223661630081,accuracy
6,0.7544295808943839,0.0034558162336080535,accuracy
7,0.8561057235586578,0.005843506450575121,accuracy
8,0.7495812128211299,0.002970216827142599,accuracy
9,0.9714803361433331,0.002939114308480661,accuracy
0,0.7464768613904833,0.0027513585627552996,balanced_accuracy
1,0.9465820846090187,0.004060013312028968,balanced_accuracy
2,0.7508551910293944,0.0031290455529990025,balanced_accuracy
3,0.7476158337185809,0.0032520672152725077,balanced_accuracy
4,0.8487950063496615,0.006419208537784397,balanced_accuracy
5,0.9728024976621766,0.00353613370676797,balanced_accuracy
6,0.7517779080035367,0.003012385382094227,balanced_accuracy
7,0.8539463499136168,0.0059881659467056455,balanced_accuracy
8,0.7468089836268407,0.002865970388410476,balanced_accuracy
9,0.9710867394811314,0.0030744762377881343,balanced_accuracy
0,0.761588797500642,0.012386497086556519,precision
1,0.956951630841,0.0034066568323284177,precision
2,0.7675791020395418,0.012249375478851542,precision
3,0.7634255518309729,0.012855484390483521,precision
4,0.873522325076487,0.007794416836029362,precision
5,0.9785381861202124,0.0028244493303004044,precision
6,0.7686934349448447,0.012109011399999963,precision
7,0.8818156971141992,0.006530049482670075,precision
8,0.7644583757490173,0.012164225044886281,precision
9,0.9770418525260945,0.002676704669508764,precision
0,0.692194877371886,0.015866451318735923,recall
1,0.9317001179520876,0.00730238911710914,recall
2,0.6953697928571079,0.014637974381157251,recall
3,0.6924848146169316,0.014417824372787567,recall
4,0.804703038658855,0.015774601805736074,recall
5,0.9651389527140131,0.0067687376748314185,recall
6,0.6962426711707612,0.014860419475758066,recall
7,0.8074480947424643,0.014803212378181758,recall
8,0.6887560501251169,0.014897259150469478,recall
9,0.9630364690024058,0.006185015693855673,recall
0,0.7464768613904833,0.0027513585627553117,auc
1,0.9465820846090187,0.004060013312028961,auc
2,0.7508551910293944,0.00312904555299901,auc
3,0.7476158337185809,0.0032520672152725016,auc
4,0.8487950063496615,0.006419208537784382,auc
5,0.9728024976621766,0.003536133706767972,auc
6,0.7517779080035367,0.0030123853820942376,auc
7,0.8539463499136166,0.005988165946705645,auc
8,0.7468089836268407,0.0028659703884104915,auc
9,0.9710867394811314,0.0030744762377881694,auc
0,0.4968331899644638,0.005453201013723511,mcc
1,0.8944165121416845,0.0078108770296486055,mcc
2,0.5058471098901708,0.006737751858403338,mcc
3,0.4991984347436846,0.006727022542712774,mcc
4,0.7019555430908435,0.01173150879769025,mcc
5,0.9462854750571973,0.006708985975228175,mcc
6,0.5077296873699109,0.006427478020576846,mcc
7,0.7127985904876885,0.011047106931861086,mcc
8,0.49801639503877004,0.005876004764898903,mcc
9,0.9428676972818899,0.005826278781095469,mcc
0,0.7250706705817765,0.009712630919027392,f1
1,0.9441416708758718,0.004309894084615064,f1
2,0.7295399194565378,0.008849847205429869,f1
3,0.7260826619011982,0.009350777726843203,f1
4,0.8376010434499375,0.008955713558072172,f1
5,0.9717781507200878,0.003657782461198119,f1
6,0.7305311301869823,0.00926781854860436,f1
7,0.8429060980957674,0.008151108916260247,f1
8,0.7245002321497627,0.009773920538216001,f1
9,0.9699752766209215,0.003163494560071537,f1
