model,mean,std,score
0,0.7385663345135993,0.004479557975835381,accuracy
1,0.9524388909951885,0.002490876697394958,accuracy
2,0.7400130579521698,0.004314029759414889,accuracy
3,0.7392117485547369,0.004125858997014909,accuracy
4,0.8706280349508678,0.004414001525086557,accuracy
5,0.9803008389176477,0.0021233239024358876,accuracy
6,0.7412539868683787,0.004502838801390735,accuracy
7,0.873936230374886,0.004257090596877945,accuracy
8,0.7357069665044697,0.0044972433110566775,accuracy
9,0.9787143038914112,0.002461691626254035,accuracy
0,0.7313133014500205,0.005273970551474091,balanced_accuracy
1,0.9502969244089738,0.002890460949732236,balanced_accuracy
2,0.7327254987730925,0.005268684812698361,balanced_accuracy
3,0.7323483200210029,0.004921515705774526,balanced_accuracy
4,0.8648917437925279,0.005044851727495664,balanced_accuracy
5,0.9765941152257885,0.002598028813072568,balanced_accuracy
6,0.7339610603954554,0.005177199691227849,balanced_accuracy
7,0.8682657777391818,0.004849837665175454,balanced_accuracy
8,0.7285535490605276,0.0053446644695940605,balanced_accuracy
9,0.9751065924709691,0.002998775242964448,balanced_accuracy
0,0.799037047873512,0.009688309621528713,precision
1,0.9619984830716158,0.0038977094003424706,precision
2,0.800028508417407,0.009311962280069811,precision
3,0.8003554569287972,0.009582315944384384,precision
4,0.8965582714930894,0.007729577012564676,precision
5,0.9748034630169358,0.003634956209160428,precision
6,0.800912164271044,0.008851794666074065,precision
7,0.8989655609901513,0.00766571338627712,precision
8,0.7971324003130508,0.00959961355856722,precision
9,0.9741297850260567,0.004027114946919369,precision
0,0.7642449917304046,0.009164841747581082,recall
1,0.9600368877293957,0.0021836557314119844,recall
2,0.7657684466233666,0.006676156731603309,recall
3,0.7635324162569638,0.008182626593789792,recall
4,0.8909844678201448,0.005184890411219439,recall
5,0.9934177781631207,0.0011095248132728835,recall
6,0.7670578709922196,0.006862659385898506,recall
7,0.894097241804563,0.005570577170359617,recall
8,0.7609766404236912,0.00784139782521268,recall
9,0.9914708935375315,0.0010197931307776421,recall
0,0.7313133014500205,0.005273970551474087,auc
1,0.950296924408974,0.002890460949732241,auc
2,0.7327254987730925,0.00526868481269837,auc
3,0.7323483200210033,0.00492151570577454,auc
4,0.8648917437925279,0.005044851727495706,auc
5,0.9765941152257885,0.002598028813072548,auc
6,0.7339610603954554,0.005177199691227877,auc
7,0.8682657777391818,0.0048498376651754625,auc
8,0.7285535490605276,0.005344664469594049,auc
9,0.9751065924709691,0.0029987752429644636,auc
0,0.45769237206306773,0.009591792053793017,mcc
1,0.9000306621115943,0.005182175528292411,mcc
2,0.46051687382851636,0.009516236295830966,mcc
3,0.45948238893867444,0.008752461037167618,mcc
4,0.7284673021880835,0.009063198849428524,mcc
5,0.9586414945686375,0.004332877331948274,mcc
6,0.4630071089211227,0.009688115195112725,mcc
7,0.735360818541283,0.008780398526167,mcc
8,0.45203769723898735,0.009563302029100919,mcc
9,0.9552661490264749,0.005032416687318142,mcc
0,0.7811713096452274,0.004898521019470124,f1
1,0.96101122476826,0.002172516954420588,f1
2,0.7824673956564863,0.004511545597426366,f1
3,0.7814371465239697,0.004634885842878449,f1
4,0.8937322221883246,0.004009128486199299,f1
5,0.9840182889041759,0.0017785689005446021,f1
6,0.7835671218919914,0.0045583213487423386,f1
7,0.8964915524283045,0.003870798691199635,f1
8,0.7785701242867512,0.005025361285672764,f1
9,0.982719171316353,0.002061261893681522,f1
