model,mean,std,score
0,0.7709705247949192,0.004124555479185694,accuracy
1,0.9320956643520196,0.0025168766439427506,accuracy
2,0.7741047291049737,0.003771354224866291,accuracy
3,0.7709019034983955,0.0039144402191382405,accuracy
4,0.8551822788691541,0.003952510661060785,accuracy
5,0.9571914800180472,0.002355167768334078,accuracy
6,0.7741804068237839,0.003580196371789732,accuracy
7,0.8566190068652068,0.0033586304484690007,accuracy
8,0.7707497562210143,0.004020310486099855,accuracy
9,0.9548623066973277,0.002372266977117659,accuracy
10,0.8524597081245178,0.003197818967216042,accuracy
11,0.8594223845284966,0.003288946993209527,accuracy
12,0.7727241105752979,0.0035848916226441656,accuracy
13,0.8506656757267489,0.00330340437556022,accuracy
14,0.77280034077961,0.0037955729166385126,accuracy
15,0.7741047291049737,0.003771354224866291,accuracy
16,0.9377101922178233,0.002733136329585256,accuracy
17,0.9541434845907311,0.0024588216018655816,accuracy
18,0.8553015907501139,0.0032936178516550217,accuracy
19,0.8524597081245178,0.003197818967216042,accuracy
20,0.9478104878063952,0.002118209310018031,accuracy
21,0.7707497562210143,0.004020310486099855,accuracy
22,0.8571171678583802,0.003298193988967509,accuracy
23,0.8477466069412899,0.003839451072209146,accuracy
24,0.9291329808423088,0.0027733246137932495,accuracy
25,0.7744659276006542,0.00348987035583145,accuracy
26,0.9555902845389334,0.0022602699461995376,accuracy
27,0.8521485771836514,0.0032727102783067794,accuracy
28,0.8591490510589314,0.0034287282095831883,accuracy
29,0.8521485771836514,0.0032727102783067794,accuracy
30,0.9327732652640709,0.0023679948709937676,accuracy
31,0.774219578904842,0.003610852279444926,accuracy
32,0.9471135419660491,0.002199039649448847,accuracy
33,0.8584524619775683,0.003400591419762553,accuracy
34,0.8477466069412899,0.003839451072209146,accuracy
35,0.7724914789426579,0.003834772019172751,accuracy
36,0.9233397155177823,0.002805896681995077,accuracy
37,0.7744312675476118,0.003309986663408935,accuracy
38,0.7724914789426579,0.003834772019172751,accuracy
39,0.8521485771836514,0.0032727102783067794,accuracy
40,0.7709637957053878,0.0038607330431622367,accuracy
41,0.9437909851852472,0.002369590035361981,accuracy
42,0.7743010438444995,0.0035132017233508203,accuracy
43,0.8477466069412899,0.003839451072209146,accuracy
44,0.9320956643520196,0.0025168766439427506,accuracy
45,0.9518108322386631,0.002484687379369847,accuracy
46,0.9320956643520196,0.0025168766439427506,accuracy
47,0.774219578904842,0.003610852279444926,accuracy
48,0.8602539316068317,0.00312193211352561,accuracy
49,0.8506656757267489,0.00330340437556022,accuracy
0,0.7765175217345577,0.00406043591565041,balanced_accuracy
1,0.9335246156303229,0.002391120052382568,balanced_accuracy
2,0.7794791074438487,0.0038972290277810035,balanced_accuracy
3,0.7765329044271733,0.003805519882067671,balanced_accuracy
4,0.857295774329226,0.004172258945817898,balanced_accuracy
5,0.9590760561605348,0.0022201504061439177,balanced_accuracy
6,0.7796009667971925,0.0037343371613024283,balanced_accuracy
7,0.8585113420599586,0.0035385109589793524,balanced_accuracy
8,0.7763973291094478,0.00394620553114573,balanced_accuracy
9,0.9566552341710816,0.0022127360052690125,balanced_accuracy
10,0.8543631595419612,0.0034543418801884253,balanced_accuracy
11,0.861422081743302,0.003535298030853784,balanced_accuracy
12,0.7780873869282781,0.003654006081382897,balanced_accuracy
13,0.852588653268759,0.003447186054247184,balanced_accuracy
14,0.7781400111508019,0.003889278434267395,balanced_accuracy
15,0.7794791074438487,0.0038972290277810035,balanced_accuracy
16,0.9390250692976927,0.002584961866123204,balanced_accuracy
17,0.9558201783523838,0.002311559142434075,balanced_accuracy
18,0.8572194149366226,0.003474556302544048,balanced_accuracy
19,0.8543631595419612,0.0034543418801884253,balanced_accuracy
20,0.9495013426612757,0.0019567712727263315,balanced_accuracy
21,0.7763973291094478,0.00394620553114573,balanced_accuracy
22,0.8590402468507088,0.0034919526091485406,balanced_accuracy
23,0.849869153098841,0.003901106603234458,balanced_accuracy
24,0.9304430184746078,0.0025444424992525872,balanced_accuracy
25,0.7798991372337416,0.0037339774154787867,balanced_accuracy
26,0.957428733520563,0.002102153869126149,balanced_accuracy
27,0.8540129435140862,0.003480206036690286,balanced_accuracy
28,0.8610863285362871,0.0036941542037345915,balanced_accuracy
29,0.8540129435140862,0.003480206036690286,balanced_accuracy
30,0.9342670195365761,0.0022689815329491243,balanced_accuracy
31,0.779648646050485,0.003766308279003403,balanced_accuracy
32,0.9487576097943022,0.002025574821379494,balanced_accuracy
33,0.8604734048453306,0.0035287138231209036,balanced_accuracy
34,0.849869153098841,0.003901106603234458,balanced_accuracy
35,0.7778413526398072,0.003829533865830545,balanced_accuracy
36,0.924519102251005,0.0026516655975115594,balanced_accuracy
37,0.7799162796897408,0.003549219525996829,balanced_accuracy
38,0.7778413526398072,0.003829533865830545,balanced_accuracy
39,0.8540129435140862,0.003480206036690286,balanced_accuracy
40,0.7766268993320027,0.0037300409283743652,balanced_accuracy
41,0.9452905058652268,0.0022122120003621863,balanced_accuracy
42,0.779674692233518,0.003694026658794983,balanced_accuracy
43,0.849869153098841,0.003901106603234458,balanced_accuracy
44,0.9335246156303229,0.002391120052382568,balanced_accuracy
45,0.9533984953457411,0.0023276481640797466,balanced_accuracy
46,0.9335246156303229,0.002391120052382568,balanced_accuracy
47,0.779648646050485,0.003766308279003403,balanced_accuracy
48,0.8622919750968918,0.0033500148569476263,balanced_accuracy
49,0.852588653268759,0.003447186054247184,balanced_accuracy
0,0.6830806270795067,0.00900204587718834,precision
1,0.8958151302974462,0.005426220887417959,precision
2,0.6869650764289784,0.008637025811603522,precision
3,0.6828587439910031,0.009174640706900194,precision
4,0.792247914275254,0.007173290464064303,precision
5,0.928108708891629,0.004922239560656473,precision
6,0.6869765796805786,0.008693641824950287,precision
7,0.7948210882682414,0.006771459341677097,precision
8,0.6826872682398765,0.009478228094791555,precision
9,0.9253506054045744,0.00518516565209697,precision
10,0.7895100796352198,0.006301666926272436,precision
11,0.7979923684056898,0.006408593141275139,precision
12,0.6854533240252824,0.009144187324222517,precision
13,0.7872056899712185,0.007148300068084525,precision
14,0.6855473340836312,0.008722233367088047,precision
15,0.6869650764289784,0.008637025811603522,precision
16,0.9040262411029163,0.006311602988168564,precision
17,0.9249273784857138,0.005098377324067591,precision
18,0.7930766807444486,0.006763261471032325,precision
19,0.7895100796352198,0.006301666926272436,precision
20,0.9161024831397365,0.005061902333154263,precision
21,0.6826872682398765,0.009478228094791555,precision
22,0.7953454545468605,0.00668259522532217,precision
23,0.7829005813475828,0.00753655092177974,precision
24,0.8923299689645255,0.006007735027835295,precision
25,0.687251741328523,0.008470629019502735,precision
26,0.9261281483232959,0.004968295335736635,precision
27,0.7892537922695828,0.006692679465082458,precision
28,0.7978552032748224,0.006390556515487354,precision
29,0.7892537922695828,0.006692679465082458,precision
30,0.8964364355636346,0.005173178250917472,precision
31,0.6869967413358918,0.008672460445094616,precision
32,0.9153732237713788,0.005338659320705355,precision
33,0.796709141796047,0.0071063937196494615,precision
34,0.7829005813475828,0.00753655092177974,precision
35,0.685204523417504,0.009143687536987412,precision
36,0.8850410903220716,0.005806683344575627,precision
