model,mean,std,score
0,0.7450883616579279,0.005200652826782944,accuracy
1,0.9365966190506945,0.003844430234994386,accuracy
2,0.7464989920034542,0.0055049835129875385,accuracy
3,0.7456160421094491,0.005496949822010938,accuracy
4,0.847177365093507,0.005506545977245997,accuracy
5,0.9647460967778266,0.0027004739539175345,accuracy
6,0.7467752793944962,0.005309952996499703,accuracy
7,0.8502186854753794,0.00544538075184831,accuracy
8,0.7450939538921957,0.005176698145165447,accuracy
9,0.9627447269090292,0.0025548739804161706,accuracy
0,0.7453912669009906,0.00551108108692829,balanced_accuracy
1,0.936977447138948,0.004085540704063179,balanced_accuracy
2,0.7468200629525503,0.005815478065366316,balanced_accuracy
3,0.7459886058324914,0.005822600870484683,balanced_accuracy
4,0.8476629666631318,0.005890673741981288,balanced_accuracy
5,0.9652540585227275,0.0030571850300124092,balanced_accuracy
6,0.7471410378841001,0.005612823499134497,balanced_accuracy
7,0.8507227059196883,0.005808038487319923,balanced_accuracy
8,0.7453639611300974,0.005449143543116931,balanced_accuracy
9,0.963239713647504,0.0029155749455950747,balanced_accuracy
0,0.7287184994804092,0.009238393146814577,precision
1,0.9211942765947663,0.004264232098391421,precision
2,0.7303002098833585,0.008492922649181344,precision
3,0.7289809231841596,0.009355691853180107,precision
4,0.8271759735467419,0.007451782745523674,precision
5,0.9449615712016576,0.004230098352471912,precision
6,0.7300491816243287,0.008938829430047274,precision
7,0.8307243870520655,0.006624139285881103,precision
8,0.7293807141662245,0.009024561502021168,precision
9,0.943223987425932,0.0039011821064907936,precision
0,0.7582680310307868,0.006416156797746985,recall
1,0.951092111923328,0.004115454809200817,recall
2,0.7593899459222974,0.007386445341722103,recall
3,0.7595007769041877,0.008365089239601529,recall
4,0.8670187089929868,0.004417165885388836,recall
5,0.9849334397920937,0.001795720040231139,recall
6,0.7608583815316937,0.0069649070263141915,recall
7,0.869289955060169,0.005928537088389338,recall
8,0.7568156321527942,0.006623614946650497,recall
9,0.9825882941004768,0.0018269378244549705,recall
0,0.7453912669009907,0.005511081086928304,auc
1,0.936977447138948,0.004085540704063174,auc
2,0.7468200629525503,0.005815478065366344,auc
3,0.7459886058324914,0.005822600870484683,auc
4,0.8476629666631319,0.005890673741981309,auc
5,0.9652540585227275,0.003057185030012408,auc
6,0.7471410378841001,0.0056128234991344615,auc
7,0.8507227059196883,0.0058080384873199446,auc
8,0.7453639611300974,0.005449143543116907,auc
9,0.9632397136475044,0.002915574945595094,auc
0,0.49052680592275716,0.01110102767955711,mcc
1,0.8735443241938747,0.00799262074659474,mcc
2,0.4933674167159363,0.011733048694774272,mcc
3,0.4917070362772408,0.011730361249680472,mcc
4,0.6950831184275166,0.011552041633838873,mcc
5,0.9302428841638524,0.005459268699639078,mcc
6,0.49401244961714263,0.01131437757418578,mcc
7,0.7011368645997816,0.011551722951998305,mcc
8,0.49045735270058377,0.010994926670721276,mcc
9,0.9262111810986865,0.005200715821577021,mcc
0,0.7431364030088414,0.004187781312675018,f1
1,0.9358941293919262,0.0028386436637930007,f1
2,0.7444879316374198,0.0030921552327503516,f1
3,0.7438431114507806,0.0040161892321614245,f1
4,0.8466035652093857,0.004178397184709426,f1
5,0.9645275595929619,0.002289240019975698,f1
6,0.7450607379506754,0.0030938524606122252,f1
7,0.8495379660514848,0.003636755233558126,f1
8,0.7427781468234604,0.003752853602049248,f1
9,0.9624985930052028,0.002152514841296998,f1
