model,mean,std,score
0,0.8399958249960929,0.008732964245189087,accuracy
1,0.9520684530937903,0.002658352941152946,accuracy
2,0.8422629801030466,0.007798876651844659,accuracy
3,0.8395802166159018,0.009166727711169085,accuracy
4,0.9108972324198717,0.005109480090858296,accuracy
5,0.975432345519417,0.002730474644512115,accuracy
6,0.8427469115483486,0.00796294198925537,accuracy
7,0.9112659053732116,0.004542873002259763,accuracy
8,0.8397680140303553,0.008626787221976757,accuracy
9,0.9735124947649877,0.002754684321571547,accuracy
0,0.852972506605984,0.007268820665809371,balanced_accuracy
1,0.9561283522988943,0.002688925963653574,balanced_accuracy
2,0.8551654305900812,0.006290929653493902,balanced_accuracy
3,0.8527554452926591,0.007502884584724766,balanced_accuracy
4,0.9179809333031421,0.0048233503496406815,balanced_accuracy
5,0.9792402741446395,0.0025412857044262694,balanced_accuracy
6,0.8556305729788785,0.006467009259448114,balanced_accuracy
7,0.9183504397425961,0.004344193512544543,balanced_accuracy
8,0.8528405348082613,0.006912885052674666,balanced_accuracy
9,0.9773426703242913,0.002705046845618031,balanced_accuracy
0,0.7096916762496519,0.0196075283336719,precision
1,0.8977829054658386,0.007477917607420633,precision
2,0.7127768462747532,0.018887360805536515,precision
3,0.7088813834804419,0.020542888507879647,precision
4,0.8223097714314485,0.012668292210027186,precision
5,0.9396633505605028,0.0068149196957370765,precision
6,0.7134590988540819,0.019343308719616415,precision
7,0.8228566256735412,0.011603980473155018,precision
8,0.7092692026451323,0.019801109335645994,precision
9,0.936150880555976,0.006011709877673696,precision
0,0.8929121599885621,0.005864362224436986,recall
1,0.9686220320575025,0.003240815774556429,recall
2,0.894879670317593,0.005060785530435033,recall
3,0.8932829250202088,0.005742272146898051,recall
4,0.9398147232534145,0.004840968849000508,recall
5,0.9909973208317935,0.0024346639794625515,recall
6,0.8952538082738284,0.00537722139216487,recall
7,0.9402080932033942,0.0043626411752299525,recall
8,0.8930708416910133,0.0050507419080717975,recall
9,0.9891994303925785,0.002691326105580198,recall
0,0.852972506605984,0.007268820665809378,auc
1,0.9561283522988944,0.0026889259636535905,auc
2,0.8551654305900812,0.006290929653493903,auc
3,0.8527554452926591,0.007502884584724776,auc
4,0.9179809333031421,0.004823350349640645,auc
5,0.9792402741446395,0.0025412857044262356,auc
6,0.8556305729788785,0.006467009259448075,auc
7,0.9183504397425961,0.004344193512544573,auc
8,0.8528405348082613,0.0069128850526747315,auc
9,0.9773426703242913,0.0027050468456180444,auc
0,0.6754664677394884,0.015815112778919234,mcc
1,0.8964729309721259,0.005756066662626779,mcc
2,0.6798447983708876,0.014131203917398333,mcc
3,0.6749155965271114,0.016647757123846436,mcc
4,0.8121120478081277,0.010532863925812604,mcc
5,0.9466115386906717,0.005963763503503314,mcc
6,0.6807734915510649,0.01460952972149116,mcc
7,0.8128710955373345,0.009385363735447683,mcc
8,0.6751518736655601,0.015370821844267303,mcc
9,0.9424751742003857,0.0058662851172035044,mcc
0,0.7906577064155575,0.011768553134121371,f1
1,0.931839197471413,0.004261921716932493,f1
2,0.7933523991441299,0.011038041260652876,f1
3,0.7902881327456523,0.012549173706898944,f1
4,0.8770913947164537,0.007782790723352465,f1
5,0.9646368766304525,0.00413592547733939,f1
6,0.7939164960680019,0.011438952983164087,f1
7,0.8775819317952643,0.007044365129162769,f1
8,0.7904508051306384,0.011685847716240094,f1
9,0.9619367621642507,0.003942404788643586,f1
