model,mean,std,score
0,0.8193070453991148,0.009142063575950618,accuracy
1,0.9716908316346929,0.0035450981942219194,accuracy
2,0.8231014252469308,0.010505308498364329,accuracy
3,0.8176783640587137,0.008023459856464313,accuracy
4,0.9241576679244687,0.006161535096175885,accuracy
5,0.992817826114954,0.001016581440843499,accuracy
6,0.8243463972720084,0.010892597814368318,accuracy
7,0.9303526904716256,0.007799644448231397,accuracy
8,0.8169420911636226,0.009994834155757592,accuracy
9,0.9914089755113166,0.0012266211538800964,accuracy
0,0.8254283930826137,0.010276318474583289,balanced_accuracy
1,0.974067636762301,0.004165554754196078,balanced_accuracy
2,0.8297017809065688,0.012218751112215105,balanced_accuracy
3,0.8242611308579928,0.009481434084359672,balanced_accuracy
4,0.9281997738461026,0.006897267533580714,balanced_accuracy
5,0.9940726696926477,0.0009011658533853617,balanced_accuracy
6,0.8310614483781071,0.012648360639800332,balanced_accuracy
7,0.9350357316852907,0.009031828840039991,balanced_accuracy
8,0.8232290978943645,0.011291514991495622,balanced_accuracy
9,0.9928480800074967,0.0011655520873873756,balanced_accuracy
0,0.6928164412380351,0.03197645630800098,precision
1,0.9384306091580413,0.006215079123475467,precision
2,0.6975983291107871,0.029892787722434786,precision
3,0.6898112674753408,0.03217336599027472,precision
4,0.8515058103152037,0.015856945093145614,precision
5,0.9809542733911196,0.0034067204005308383,precision
6,0.6990790930041952,0.02901232104207863,precision
7,0.8606041809025369,0.013226283634522712,precision
8,0.6894479074827672,0.030952116599235486,precision
9,0.9776069638562365,0.003786369543015427,precision
0,0.8416551733261342,0.024189978968864937,recall
1,0.981096664554023,0.005876424303618093,recall
2,0.847305317419505,0.02713628027082506,recall
3,0.8419953980299555,0.022880326806888812,recall
4,0.9402524849092808,0.009712314994431046,recall
5,0.9980303439877051,0.000482538254845535,recall
6,0.8491323093266437,0.02671176877406532,recall
7,0.9488048345320946,0.013169461130367925,recall
8,0.8400084142301293,0.025290303854566498,recall
9,0.9973721538986076,0.0007025229586834324,recall
0,0.8254283930826137,0.010276318474583266,auc
1,0.974067636762301,0.0041655547541960825,auc
2,0.8297017809065688,0.012218751112215097,auc
3,0.8242611308579928,0.009481434084359674,auc
4,0.9281997738461026,0.006897267533580699,auc
5,0.9940726696926477,0.0009011658533853712,auc
6,0.8310614483781071,0.012648360639800295,auc
7,0.9350357316852907,0.009031828840039991,auc
8,0.8232290978943645,0.011291514991495617,auc
9,0.9928480800074967,0.001165552087387351,auc
0,0.6245279380586605,0.013733067828169418,mcc
1,0.9379191134434101,0.005851220832122753,mcc
2,0.6327291993470375,0.01660584365344121,mcc
3,0.6218228847194277,0.012205504530410199,mcc
4,0.8369293775165184,0.010231554963011112,mcc
5,0.9840171072267557,0.0023434301811269716,mcc
6,0.6353391617531555,0.017456094650444922,mcc
7,0.8505089840421541,0.01322863356221875,mcc
8,0.6200318390658356,0.015334692541794735,mcc
9,0.9809262571402981,0.002691925774706788,mcc
0,0.7589988495943584,0.010077955124697155,f1
1,0.9592572439593784,0.002459379432215681,f1
2,0.764164548485196,0.008294544999047243,f1
3,0.7573650169904226,0.010627866648899538,f1
4,0.8935228779144763,0.006620855934808869,f1
5,0.9894157652414667,0.0017942268554694645,f1
6,0.765853870744333,0.008198425818768593,f1
7,0.9023919087959102,0.005557850575211496,f1
8,0.7563010819005603,0.009351234588681178,f1
9,0.9873869398778878,0.001987397473100174,f1
