model,mean,std,score
0,0.9704317150259694,0.0014420937139589458,accuracy
1,0.9819743122877075,0.0013653455892268327,accuracy
2,,,accuracy
3,0.9723027019650793,0.0011374461087576544,accuracy
4,0.7219283130790103,0.004030129470209569,accuracy
5,0.9903791793446601,0.0006175513047011787,accuracy
6,0.8968276898772771,0.0022993305287232085,accuracy
7,0.7242071097866731,0.003951038104737125,accuracy
8,,,accuracy
9,0.5588680548258751,0.006510370649580753,accuracy
10,0.8871642987463115,0.003423430544958483,accuracy
11,0.7268690584703352,0.003529978905631066,accuracy
12,0.5582242269654346,0.005650506794718554,accuracy
13,0.5635025793840207,0.006019256898845982,accuracy
14,0.7317575228965838,0.0027751159602987996,accuracy
15,,,accuracy
16,,,accuracy
17,0.5582242269654346,0.005650506794718554,accuracy
18,0.9103279099197931,0.002849648905638117,accuracy
19,,,accuracy
20,0.7182498357490215,0.0031984855816673827,accuracy
21,0.9114019544425405,0.0021549425694119997,accuracy
22,,,accuracy
23,0.8871642987463115,0.003423430544958483,accuracy
24,0.960307482168167,0.0012854260838858044,accuracy
25,0.5563935792566128,0.005558495611718318,accuracy
26,,,accuracy
27,0.5705084949994688,0.00508243204139579,accuracy
28,0.7216609244466354,0.004409167206715737,accuracy
29,0.92500300417645,0.003817494231443434,accuracy
30,0.7234833608798501,0.0061610983817499505,accuracy
31,,,accuracy
32,0.9022920110585148,0.003036015036700377,accuracy
33,0.5578791688437534,0.00555049923790537,accuracy
34,0.7182498357490215,0.0031984855816673827,accuracy
35,,,accuracy
36,0.7307544311822857,0.004550777871575919,accuracy
37,0.5620035503488959,0.00538934596463141,accuracy
38,0.7299560005531089,0.0029435733897861427,accuracy
39,0.7241346509584696,0.005145027883165379,accuracy
40,0.5707243495039063,0.004147423580383724,accuracy
41,0.9792578356954078,0.0007396622971919905,accuracy
42,,,accuracy
43,0.5697586065361577,0.00451187888476683,accuracy
44,0.9854287254666074,0.0009531084630177432,accuracy
45,,,accuracy
46,0.9674814600945079,0.0013731684535595319,accuracy
47,,,accuracy
48,,,accuracy
49,,,accuracy
0,0.9524106562967521,0.0015140846122884783,balanced_accuracy
1,0.972868892910099,0.0010432712953970782,balanced_accuracy
2,,,balanced_accuracy
3,0.9596167722812272,0.0009138897128574297,balanced_accuracy
4,0.7131419706201793,0.0016591917680713025,balanced_accuracy
5,0.9903543915641777,0.0004189037869591873,balanced_accuracy
6,0.8771698114008937,0.0019367194957494503,balanced_accuracy
