model,mean,std,score
0,0.7458998487657764,0.005110775703720256,accuracy
1,,,accuracy
2,0.7659344224832726,0.0034398276877036123,accuracy
3,,,accuracy
4,0.9029624140776435,0.0039153115879629104,accuracy
5,,,accuracy
6,0.7691031118172142,0.0038521745262220875,accuracy
7,0.9245753749503981,0.0027291201228494687,accuracy
8,,,accuracy
9,0.9909759118756845,0.0006516832782072741,accuracy
10,0.9193761404839579,0.0010538539290925158,accuracy
11,0.9313470169819462,0.001745786553742946,accuracy
12,0.760603953077424,0.005427099696957274,accuracy
13,0.9092640051238736,0.0019057165495726936,accuracy
14,0.7610966773657022,0.0037513783247690017,accuracy
15,0.7659344224832726,0.0034398276877036123,accuracy
16,0.9712312450219329,0.0016304929015192981,accuracy
17,,,accuracy
18,0.9166464874187201,0.00341025212903582,accuracy
19,,,accuracy
20,0.9898377599086434,0.00040816479179875675,accuracy
21,0.7448106062427902,0.008018182299354066,accuracy
22,0.9260571202749661,0.0023238852421633128,accuracy
23,0.8912802544850678,0.0019460330237315413,accuracy
24,0.9739823730741022,0.0006762192767221291,accuracy
25,0.768730888168794,0.002417960011014495,accuracy
26,0.9921844528169281,0.0005262335893568682,accuracy
27,0.9178442878547669,0.0013216139080233103,accuracy
28,0.9299511687812504,0.002001791866134984,accuracy
29,0.9178442878547669,0.0013216139080233103,accuracy
30,0.9825590764564249,0.0005002801026803074,accuracy
31,0.765768591987047,0.002878356050239125,accuracy
32,0.9886017796140782,0.0005656819964796563,accuracy
33,,,accuracy
34,0.8912802544850678,0.0019460330237315413,accuracy
35,,,accuracy
36,0.9599463619330333,0.0013920210701690347,accuracy
37,,,accuracy
38,0.7582620393253707,0.005124403924605858,accuracy
39,,,accuracy
40,0.7463352927849971,0.008122566812315192,accuracy
41,0.9829241444365152,0.0008306792086032065,accuracy
42,0.7679172410134815,0.002634696402658602,accuracy
43,,,accuracy
44,0.9810725594565608,0.0005230570671932659,accuracy
45,0.9861011857621764,0.0006359075018826419,accuracy
46,0.9810725594565608,0.0005230570671932659,accuracy
47,,,accuracy
48,,,accuracy
49,0.9092640051238736,0.0019057165495726936,accuracy
0,0.7091239171734183,0.003688763884041532,balanced_accuracy
1,,,balanced_accuracy
2,0.7203837272413296,0.002209489069633236,balanced_accuracy
3,,,balanced_accuracy
4,0.8600113073209187,0.004960720711621986,balanced_accuracy
5,,,balanced_accuracy
6,0.7229241876714303,0.0018772591074520928,balanced_accuracy
7,0.8861288956309308,0.0029646473191711504,balanced_accuracy
8,,,balanced_accuracy
9,0.9802481787391845,0.0010089649219648215,balanced_accuracy
10,0.8792498570157447,0.002151163232152106,balanced_accuracy
11,0.8958648743844384,0.0027353481446619494,balanced_accuracy
