model,mean,std,score
0,0.7720429161104126,0.001280387768310566,accuracy
1,0.9346809758012341,0.0008887575698808088,accuracy
2,0.7750529701264258,0.0008323580914469312,accuracy
3,0.771863505788956,0.0012519507862709218,accuracy
4,0.8617798380470415,0.0015436925864330587,accuracy
5,0.9633385720467622,0.0008911494709796046,accuracy
6,0.7751625194159032,0.00038493386666834046,accuracy
7,0.8629853447908893,0.0009068651942037751,accuracy
8,0.7711655936913611,0.001425113609375923,accuracy
9,0.9608142952125955,0.0006116875096969579,accuracy
10,0.8572107950944282,0.0005916620116396898,accuracy
11,0.8668239810646279,0.0006556737961274604,accuracy
12,0.7736991537664551,0.00045748655204230705,accuracy
13,0.8552857904332678,0.0006400558965823962,accuracy
14,0.7742761445554163,0.0008367784496883387,accuracy
15,0.7750529701264258,0.0008323580914469312,accuracy
16,0.940836858792801,0.0014874991409373867,accuracy
17,0.9603099507769596,0.000982289468786695,accuracy
18,0.8616860708063638,0.0012643525992605074,accuracy
19,0.8572107950944282,0.0005916620116396898,accuracy
20,0.9518500490642433,0.0007845057419774186,accuracy
21,0.7711655936913611,0.001425113609375923,accuracy
22,0.8632777858121751,0.0008595232449750139,accuracy
23,0.8519463922605033,0.000973649406563983,accuracy
24,0.9314812994995789,0.000877336086691155,accuracy
25,0.7761213082389482,0.00047372777863626393,accuracy
26,0.9615544494226507,0.0006520650009752113,accuracy
27,0.8569130157797389,0.0008849306032241198,accuracy
28,0.8662518644506575,0.0007197914353983633,accuracy
29,0.8569130157797389,0.0008849306032241198,accuracy
30,0.9352825686912795,0.0008077897132529888,accuracy
31,0.7753876526369134,0.0005905302086396891,accuracy
32,0.9510093973187841,0.0008639514419434827,accuracy
33,0.8655954969651629,0.001079158049563373,accuracy
34,0.8519463922605033,0.000973649406563983,accuracy
35,0.7731936490372109,0.0013403215982693978,accuracy
36,0.9251580746238537,0.0012603990748504895,accuracy
37,0.7757223352222785,0.0007213826227030933,accuracy
38,0.7731936490372109,0.0013403215982693978,accuracy
39,0.8569130157797389,0.0008849306032241198,accuracy
40,0.7713826026091828,0.0013679272510651954,accuracy
41,0.9477201319233076,0.001036776489513749,accuracy
42,0.7756854319182044,0.0005145143899674534,accuracy
43,0.8519463922605033,0.000973649406563983,accuracy
44,0.9346809758012341,0.0008887575698808088,accuracy
45,0.9577696590189483,0.0009691116363983722,accuracy
46,0.9346809758012341,0.0008887575698808088,accuracy
47,0.7753876526369134,0.0005905302086396891,accuracy
48,0.867493578487144,0.0007822118400354705,accuracy
49,0.8552857904332678,0.0006400558965823962,accuracy
0,0.777987297306208,0.0010392013108765504,balanced_accuracy
1,0.9360994433047829,0.000834159553299268,balanced_accuracy
2,0.7808131611042652,0.00062712791751164,balanced_accuracy
3,0.7777752822612165,0.0011023882912751999,balanced_accuracy
4,0.8639821712582478,0.0014872975635021124,balanced_accuracy
5,0.9652070395280349,0.0007913266235571505,balanced_accuracy
6,0.7808325611599023,0.00029368574265337675,balanced_accuracy
7,0.8648915561132847,0.0008439169426608143,balanced_accuracy
8,0.7774447876178484,0.0009261738020035339,balanced_accuracy
9,0.9626354633635209,0.0005202511644047402,balanced_accuracy
10,0.8591586853075726,0.0006575151782636286,balanced_accuracy
11,0.8689111542594057,0.0005818155939089332,balanced_accuracy
12,0.7794094880767014,0.00033886117975731036,balanced_accuracy
13,0.85723337342364,0.000657396566370941,balanced_accuracy
14,0.7798966858243397,0.0006736500431385677,balanced_accuracy
15,0.7808131611042652,0.00062712791751164,balanced_accuracy
16,0.9420705356155376,0.0013476572295070149,balanced_accuracy
17,0.9619339826916862,0.0008762007688070608,balanced_accuracy
18,0.8635694705660979,0.0011405821992435813,balanced_accuracy
19,0.8591586853075726,0.0006575151782636286,balanced_accuracy
20,0.9536030132327588,0.0007332791933034601,balanced_accuracy
21,0.7774447876178484,0.0009261738020035339,balanced_accuracy
22,0.8652569229007844,0.0008090141119804308,balanced_accuracy
23,0.8540540207597476,0.0008021191083082398,balanced_accuracy
24,0.9327633718057532,0.0007717646731647512,balanced_accuracy
25,0.7816183040988618,0.00036619733640813417,balanced_accuracy
26,0.96343503858403,0.0005752304805514496,balanced_accuracy
27,0.8588286193237359,0.0008938017071479452,balanced_accuracy
28,0.8683323660867458,0.0006748994425812109,balanced_accuracy
29,0.8588286193237359,0.0008938017071479452,balanced_accuracy
30,0.9367740071377882,0.0007686444695662883,balanced_accuracy
31,0.781130695749671,0.0004359996022943804,balanced_accuracy
32,0.9526992270799205,0.0008496829676461325,balanced_accuracy
33,0.8677650184523371,0.0010674349271526157,balanced_accuracy
