model,mean,std,score
0,0.8436993924908337,0.004055438218183816,accuracy
1,0.6894264234508192,0.004296799576738357,accuracy
2,0.8390651931376684,0.004191759479355709,accuracy
3,0.95050202719909,0.0025199073615186267,accuracy
4,,,accuracy
5,0.6860259505149631,0.005204379148686505,accuracy
6,0.8759505021982694,0.0035826686297138303,accuracy
7,0.95471432879578,0.0023056442799323324,accuracy
8,0.6741278041576124,0.004838089345924203,accuracy
9,0.874200380222703,0.0015987857678078255,accuracy
10,0.9524660818416397,0.001182673413218238,accuracy
11,0.8438286695230255,0.004507293597137711,accuracy
12,0.8525149819059443,0.004520481369507142,accuracy
13,0.9524660818416397,0.001182673413218238,accuracy
14,0.6882239638134615,0.003992139136674521,accuracy
15,,,accuracy
16,,,accuracy
17,0.695172101160372,0.005312509150098149,accuracy
18,,,accuracy
19,,,accuracy
20,0.9721048723790449,0.0011677013451295935,accuracy
21,0.9765237320191642,0.0012158519425905783,accuracy
22,,,accuracy
23,,,accuracy
24,,,accuracy
25,0.6846025295404575,0.00493626922571581,accuracy
26,0.9640066158981457,0.001683796367326184,accuracy
27,0.967866223893817,0.0017824833808898603,accuracy
28,,,accuracy
29,,,accuracy
30,0.6989052457944298,0.003134653971953399,accuracy
31,0.9749977341539797,0.0014909600482037111,accuracy
32,0.6747885776636381,0.0029339227890601348,accuracy
33,0.8625172235704519,0.002978693611583188,accuracy
34,,,accuracy
35,,,accuracy
36,,,accuracy
37,,,accuracy
38,0.6884533547716729,0.004006816695586179,accuracy
39,,,accuracy
40,0.6894264234508192,0.004296799576738357,accuracy
41,,,accuracy
42,0.96709865876704,0.001007062668705838,accuracy
43,0.676421369205976,0.005185152575119484,accuracy
44,0.8683735561588184,0.0024873712141091045,accuracy
45,0.6951204628635621,0.004999772141554438,accuracy
46,0.6972735098932763,0.005024554061521896,accuracy
47,,,accuracy
48,,,accuracy
49,0.8734721610477023,0.00389030566612521,accuracy
0,0.808814526813105,0.0025968087491559226,balanced_accuracy
1,0.6698409449736662,0.0013669715968895263,balanced_accuracy
2,0.8046939600591245,0.0024229627904275917,balanced_accuracy
3,0.9156805309518289,0.0020616066129684222,balanced_accuracy
4,,,balanced_accuracy
5,0.6678775132045269,0.0013084740591558835,balanced_accuracy
6,0.8459832153976816,0.0019221523220141362,balanced_accuracy
7,0.9208427170117043,0.0015533035950381676,balanced_accuracy
8,0.6623187284366117,0.0032574308478066157,balanced_accuracy
9,0.8432381777280327,0.0007131806889375014,balanced_accuracy
10,0.9240542772426312,0.0007449409052563329,balanced_accuracy
11,0.8098694392914881,0.00304553610060759,balanced_accuracy
12,0.8176546005720005,0.0028893766802688082,balanced_accuracy
13,0.9240542772426312,0.0007449409052563329,balanced_accuracy
14,0.6688631591195076,0.00227351960182633,balanced_accuracy
15,,,balanced_accuracy
16,,,balanced_accuracy
17,0.6730971277978188,0.0019138587900577417,balanced_accuracy
18,,,balanced_accuracy
19,,,balanced_accuracy
20,0.9602512891218987,0.0008009253305563061,balanced_accuracy
