model,mean,std,score
0,0.9464863955408429,0.003616839967559857,accuracy
1,0.9634708244340002,0.002828671086186279,accuracy
2,,,accuracy
3,0.954837500833508,0.0020038269527639903,accuracy
4,0.6088905549866748,0.00450332151962274,accuracy
5,0.9776788435418853,0.00235518791096617,accuracy
6,0.8198451838458105,0.007551691168258436,accuracy
7,0.6111894811342559,0.005189542677985226,accuracy
8,,,accuracy
9,0.512493073669882,0.006496876195901209,accuracy
10,0.8049784797119897,0.008232962143549119,accuracy
11,0.6143736100462042,0.004619221184865473,accuracy
12,0.5118166753959548,0.006069125221015153,accuracy
13,0.5036952076791081,0.007341229835917645,accuracy
14,0.6175509595600293,0.004660746676448058,accuracy
15,,,accuracy
16,,,accuracy
17,0.5118166753959548,0.006069125221015153,accuracy
18,0.8345635022102389,0.005266998568706038,accuracy
19,,,accuracy
20,0.6054731595521394,0.008607315522489811,accuracy
21,0.8383662238216056,0.005686824623029285,accuracy
22,,,accuracy
23,0.8049784797119897,0.008232962143549119,accuracy
24,0.9346241691671521,0.002927900292934149,accuracy
25,0.5061789854811274,0.008751859353987252,accuracy
26,,,accuracy
27,0.5123311312082584,0.003934978047151668,accuracy
28,0.6108614330585095,0.005051831521940085,accuracy
29,0.8517978695083295,0.006348584183408739,accuracy
30,0.6075559917283975,0.0069874878895631164,accuracy
31,,,accuracy
32,0.8269111834262901,0.007340486273381717,accuracy
33,0.5063315522275013,0.008547056338226309,accuracy
34,0.6054731595521394,0.008607315522489811,accuracy
35,,,accuracy
36,0.6154410550303228,0.0053463644318772945,accuracy
37,0.5030693192274308,0.007771206738224794,accuracy
38,0.6142715459505323,0.004386905040210879,accuracy
39,0.610074124738184,0.0053179805662288615,accuracy
40,0.5123696634750916,0.0038763690711564993,accuracy
41,0.9658186932159809,0.0018612298185613746,accuracy
42,,,accuracy
43,0.5119249799472725,0.003558205736895452,accuracy
44,0.9693188889391186,0.0019424382095478206,accuracy
45,,,accuracy
46,0.9485124677189793,0.0024661399367968536,accuracy
47,,,accuracy
48,,,accuracy
49,,,accuracy
0,0.9307864754687725,0.0024837592471079195,balanced_accuracy
1,0.9566393755842503,0.001865702896284335,balanced_accuracy
2,,,balanced_accuracy
3,0.9464292813020563,0.0015403801375047273,balanced_accuracy
4,0.669033952744681,0.002399028840839332,balanced_accuracy
5,0.9808239440606357,0.0015541181203783442,balanced_accuracy
6,0.8309547960078069,0.004816287710318631,balanced_accuracy
7,0.6703191873395801,0.0025171708964068147,balanced_accuracy
8,,,balanced_accuracy
9,0.5819744718669297,0.0008069645438067945,balanced_accuracy
10,0.8141995438049149,0.004446464436424555,balanced_accuracy
11,0.6727364656700059,0.0018172250508732292,balanced_accuracy
12,0.5818949792646763,0.0007287769333858832,balanced_accuracy
13,0.5813065653345806,0.0012768975712420282,balanced_accuracy
14,0.677316497053225,0.0022331395701433864,balanced_accuracy
15,,,balanced_accuracy
16,,,balanced_accuracy
17,0.5818949792646763,0.0007287769333858832,balanced_accuracy
18,0.845879464663297,0.0037401295822898713,balanced_accuracy
19,,,balanced_accuracy
20,0.6638563578974355,0.0031654572005551185,balanced_accuracy
21,0.854764140963064,0.0030023550780739045,balanced_accuracy
22,,,balanced_accuracy
23,0.8141995438049149,0.004446464436424555,balanced_accuracy
24,0.9164483392785812,0.002337220664350443,balanced_accuracy
25,0.58189694882881,0.0006710924762205365,balanced_accuracy
26,,,balanced_accuracy
27,0.5822420243801611,0.0009145873380456642,balanced_accuracy
28,0.6692589852005797,0.002503886464068856,balanced_accuracy
29,0.8714320345995624,0.004341521285998347,balanced_accuracy
30,0.6650742894063665,0.0035480147248763837,balanced_accuracy
31,,,balanced_accuracy
32,0.8399233934568512,0.004488373614751432,balanced_accuracy
33,0.5818176672128078,0.0007019699789744928,balanced_accuracy
34,0.6638563578974355,0.0031654572005551185,balanced_accuracy
35,,,balanced_accuracy
36,0.6761197153355059,0.002216172071373484,balanced_accuracy
37,0.5813897430860331,0.0013294722547521395,balanced_accuracy
38,0.6746748188834398,0.001983179685150859,balanced_accuracy
39,0.6710268896290597,0.0025849578880375933,balanced_accuracy
40,0.5822719785478878,0.0009070908776789247,balanced_accuracy
41,0.9641635325175704,0.001406622264396152,balanced_accuracy
42,,,balanced_accuracy
43,0.5821077744251377,0.0009348258232781267,balanced_accuracy
44,0.9664611865462545,0.001381533274731868,balanced_accuracy
45,,,balanced_accuracy
46,0.9361655428656827,0.00207929040299645,balanced_accuracy
47,,,balanced_accuracy
48,,,balanced_accuracy
49,,,balanced_accuracy
