model,mean,std,score
0,0.8383874226417953,0.001621092364904996,accuracy
1,0.9518151694465337,0.0004034553355159205,accuracy
2,0.8418688044588668,0.0005322371034525589,accuracy
3,0.8399228474345813,0.0016521537432746059,accuracy
4,0.9158198889649254,0.0015231554307219186,accuracy
5,0.9789865772776221,0.0008741058507437209,accuracy
6,0.8419712226697076,0.00097264442761356,accuracy
7,0.9154200717762467,0.0005179474498200488,accuracy
8,0.8390966402724154,0.0019913797738518608,accuracy
9,0.9766215164966268,0.0005848225932972303,accuracy
10,0.9091283857610983,0.0006753582245023263,accuracy
11,0.9197315165430542,0.0005562570113347463,accuracy
12,0.8411158746841526,0.0015549566681405638,accuracy
13,0.9079593549499465,0.000997377137975436,accuracy
14,0.8412002962373775,0.001363038046709551,accuracy
15,0.8418688044588668,0.0005322371034525589,accuracy
16,0.9628806836420823,0.0015004346251627277,accuracy
17,0.977782406778634,0.001005157617817143,accuracy
18,0.9145561533195667,0.0004796532088886901,accuracy
19,0.9091283857610983,0.0006753582245023263,accuracy
20,0.9691972248630888,0.000566666257296935,accuracy
21,0.8390966402724154,0.0019913797738518608,accuracy
22,0.9156446215695565,0.0004079752743289865,accuracy
23,0.9054203112409505,0.0003945702512204037,accuracy
24,0.9502304631023806,0.0007175949083762246,accuracy
25,0.8429054191541526,0.0009228533608255988,accuracy
26,0.9772497422705116,0.0005836470898887044,accuracy
27,0.9089895419498177,0.0007448239720789756,accuracy
28,0.9192237076172491,0.0007540780848932941,accuracy
29,0.9089895419498177,0.0007448239720789756,accuracy
30,0.9521772779502025,0.0003537319743111172,accuracy
31,0.8422116291472468,0.00036601412380309306,accuracy
32,0.9686645614751619,0.0006290422688158886,accuracy
33,0.9193466965568126,0.000844816691583488,accuracy
34,0.9054203112409505,0.0003945702512204037,accuracy
35,0.8412007257037342,0.0010033776960793142,accuracy
36,0.94662866323256,0.0011585440364985289,accuracy
37,0.8434008015476415,0.0010776444425262307,accuracy
38,0.8412007257037342,0.0010033776960793142,accuracy
39,0.9089895419498177,0.0007448239720789756,accuracy
40,0.8392080555504666,0.003120401932121444,accuracy
41,0.9668493060765926,0.0006917443447000172,accuracy
42,0.8423620430243963,0.0009332635019740135,accuracy
43,0.9054203112409505,0.0003945702512204037,accuracy
44,0.9518151694465337,0.0004034553355159205,accuracy
45,0.9752270778464261,0.0006181157385535635,accuracy
46,0.9518151694465337,0.0004034553355159205,accuracy
47,0.8422116291472468,0.00036601412380309306,accuracy
48,0.9207621327448425,0.0008243177045028162,accuracy
49,0.9079593549499465,0.000997377137975436,accuracy
0,0.8522284067205037,0.001284147338341544,balanced_accuracy
1,0.9556075153362741,0.00031581461504071105,balanced_accuracy
2,0.8552146802274281,0.0003398184231675449,balanced_accuracy
3,0.8534245425524795,0.0013627450113736861,balanced_accuracy
4,0.9226356637093895,0.0012687994075044654,balanced_accuracy
5,0.9824871935785344,0.0006663281521488264,balanced_accuracy
6,0.8553798629282294,0.0005810151224251962,balanced_accuracy
7,0.922435124664817,0.0004919918326174377,balanced_accuracy
8,0.8524798674277709,0.0013620193383970572,balanced_accuracy
9,0.9802328518540717,0.00045178252014140257,balanced_accuracy
10,0.9158393778244063,0.0005897947131347097,balanced_accuracy
11,0.9270000357986244,0.0004577731522999518,balanced_accuracy
12,0.8545259620795924,0.0010868909521674513,balanced_accuracy
13,0.9145972519873299,0.0008063006829396869,balanced_accuracy
14,0.8544667759606608,0.0011350239414147463,balanced_accuracy
15,0.8552146802274281,0.0003398184231675449,balanced_accuracy
16,0.9660616992923357,0.0011682426458822167,balanced_accuracy
17,0.9810581168293904,0.0007983910408690712,balanced_accuracy
18,0.9214084837068404,0.00034374995243365914,balanced_accuracy
19,0.9158393778244063,0.0005897947131347097,balanced_accuracy
20,0.9728690709818762,0.00047288473194333637,balanced_accuracy
21,0.8524798674277709,0.0013620193383970572,balanced_accuracy
22,0.922622162574822,0.0003669124530763544,balanced_accuracy
23,0.9118442659520307,0.0002914911808908943,balanced_accuracy
24,0.953941790703319,0.0006228510181411298,balanced_accuracy
25,0.8561586232940103,0.0006271963658430113,balanced_accuracy
26,0.9808344187579839,0.00045263252057206875,balanced_accuracy
27,0.9156574785743775,0.000659663848061318,balanced_accuracy
28,0.9265503695783288,0.0006501431044238584,balanced_accuracy
29,0.9156574785743775,0.000659663848061318,balanced_accuracy
30,0.9559912416534392,0.00031871986511929594,balanced_accuracy
31,0.8554985359975061,0.0003424406882296989,balanced_accuracy
32,0.9723687871265023,0.0005328445888469578,balanced_accuracy
33,0.926527136371609,0.0007029555417334281,balanced_accuracy
34,0.9118442659520307,0.0002914911808908943,balanced_accuracy
35,0.8543382324730876,0.0007031365227750237,balanced_accuracy
36,0.9500402975731932,0.0010699421393603,balanced_accuracy
37,0.8566390718547268,0.0007201016602622908,balanced_accuracy
38,0.8543382324730876,0.0007031365227750237,balanced_accuracy
39,0.9156574785743775,0.000659663848061318,balanced_accuracy
40,0.8528694151268492,0.002204154700827766,balanced_accuracy
41,0.9703544993199829,0.000537619805135225,balanced_accuracy
42,0.8556156300879492,0.000681325264920634,balanced_accuracy
43,0.9118442659520307,0.0002914911808908943,balanced_accuracy
44,0.9556075153362741,0.00031581461504071105,balanced_accuracy
45,0.9785749707906207,0.0005014159542896802,balanced_accuracy
46,0.9556075153362741,0.00031581461504071105,balanced_accuracy
47,0.8554985359975061,0.0003424406882296989,balanced_accuracy
48,0.9281387732586651,0.0007058959352133903,balanced_accuracy
49,0.9145972519873299,0.0008063006829396869,balanced_accuracy
0,0.7061456379775433,0.002678868545688361,precision
1,0.8981564910004126,0.0009880379638757362,precision
2,0.711425030441482,0.0011241965347757936,precision
3,0.7086338802632618,0.0027345885687495314,precision
4,0.8306560931953746,0.0031040483678409334,precision
5,0.9471789590695577,0.0023534496792568436,precision
6,0.7114786111174612,0.0018496641701772913,precision
7,0.8295423502694363,0.0009722556774946228,precision
8,0.7077089990267689,0.0035922350645535587,precision
9,0.9425099287861199,0.0015739756117696545,precision
10,0.8203899887467498,0.001335933295643791,precision
11,0.8357392319091538,0.0012280461499922129,precision
12,0.7103443999772915,0.0027687560052649363,precision
13,0.8187369602646811,0.002108946861753126,precision
14,0.7106484084518175,0.002266714744144979,precision
15,0.711425030441482,0.0011241965347757936,precision
16,0.91940686153461,0.00377829441634284,precision
17,0.9457791765444391,0.002627892936098758,precision
18,0.8285696433211106,0.00125014293617751,precision
19,0.8203899887467498,0.001335933295643791,precision
20,0.9289935301296752,0.0014222675849600117,precision
21,0.7077089990267689,0.0035922350645535587,precision
22,0.8299847994626323,0.0008286640638412322,precision
23,0.815265293103829,0.0010912172579175844,precision
24,0.8956730837816691,0.0015868776046095013,precision
25,0.7129375853153891,0.0016958870141337832,precision
26,0.9437367948791884,0.0015335562497646872,precision
27,0.820272548345678,0.00146243191617104,precision
28,0.8347963710016844,0.0014990115968195308,precision
29,0.820272548345678,0.00146243191617104,precision
30,0.89871489555352,0.0007690819413940695,precision
31,0.7119613772273887,0.0007038245692658306,precision
32,0.9279386652497005,0.0015127817971622268,precision
33,0.8353452309501093,0.0017604754954428411,precision
34,0.815265293103829,0.0010912172579175844,precision
35,0.7108247503169549,0.00188604690763147,precision
36,0.8903842970288345,0.0023289374363778806,precision
37,0.7136214641912556,0.0019633363143666603,precision
38,0.7108247503169549,0.00188604690763147,precision
39,0.820272548345678,0.00146243191617104,precision
40,0.7075073056670675,0.005426956814842372,precision
41,0.9253704250846783,0.0017940791919074895,precision
42,0.712211439480322,0.0016598717535957085,precision
43,0.815265293103829,0.0010912172579175844,precision
44,0.8981564910004126,0.0009880379638757362,precision
45,0.9408987530652426,0.0015717522699313453,precision
46,0.8981564910004126,0.0009880379638757362,precision
47,0.7119613772273887,0.0007038245692658306,precision
48,0.837109130257593,0.0016673545914642554,precision
49,0.8187369602646811,0.002108946861753126,precision
0,0.8950842295374045,0.001303653038224669,recall
1,0.9673497487760285,0.0002184923282188007,recall
2,0.8965374926750534,0.0010706593218956818,recall
3,0.895229813643833,0.0017390319034700924,recall
4,0.9437393318165628,0.0009878681566170419,recall
5,0.9933261439223335,0.0003576680544741131,recall
6,0.8968970107026741,0.000758755175941097,recall
7,0.9441558187440817,0.0006387507311235191,recall
8,0.893918333602684,0.0016931558812494263,recall
9,0.9914146235644029,0.00035047391987146,recall
10,0.9366186118691164,0.0006438173477215265,recall
11,0.9495055369694697,0.000599057849340369,recall
12,0.8960475882667482,0.0009435884931656654,recall
13,0.9351501609734628,0.0008504780524626368,recall
14,0.895543756122057,0.0014910087844303376,recall
15,0.8965374926750534,0.0010706593218956818,recall
16,0.9759110714378701,0.0005442584200278495,recall
17,0.9912006886977179,0.000558388943352559,recall
18,0.9426253387663239,0.0007430991736748509,recall
19,0.9366186118691164,0.0006438173477215265,recall
20,0.9842382019180134,0.0004953764505570276,recall
21,0.893918333602684,0.0016931558812494263,recall
22,0.944226709274725,0.0004944948046205926,recall
23,0.9317347463936185,0.0008396909277961249,recall
24,0.9654331667455386,0.0005431121929705779,recall
25,0.8971944973886229,0.0008350205254557001,recall
26,0.9919336459510211,0.00022035153296128842,recall
27,0.936303400779711,0.0007574720592020985,recall
28,0.9492358978077421,0.0005733716369738639,recall
29,0.936303400779711,0.0007574720592020985,recall
30,0.9678004113000173,0.00033607211839162173,recall
31,0.8966387642344106,0.0009122085265006039,recall
32,0.9838381757666393,0.0004803133494801686,recall
33,0.9487599184435715,0.0006659137988373814,recall
34,0.9317347463936185,0.0008396909277961249,recall
35,0.8950158735368735,0.00131836415320424,recall
36,0.9606037337969168,0.0009769103136318467,recall
37,0.8976287035274002,0.0006749567182745402,recall
38,0.8950158735368735,0.00131836415320424,recall
39,0.936303400779711,0.0007574720592020985,recall
40,0.8951690509453935,0.001683616090867085,recall
41,0.9812076239367045,0.00041039918041602575,recall
42,0.8966526900958363,0.0008546299706964726,recall
43,0.9317347463936185,0.0008396909277961249,recall
44,0.9673497487760285,0.0002184923282188007,recall
45,0.9889410439831743,0.0003698675224570583,recall
46,0.9673497487760285,0.0002184923282188007,recall
47,0.8966387642344106,0.0009122085265006039,recall
48,0.9509790519414782,0.0006580699288570473,recall
49,0.9351501609734628,0.0008504780524626368,recall
0,0.8522284067205035,0.001284147338341545,auc
1,0.9556075153362741,0.0003158146150407044,auc
2,0.8552146802274283,0.00033981842316755084,auc
3,0.8534245425524795,0.00136274501137368,auc
4,0.9226356637093893,0.001268799407504437,auc
5,0.9824871935785344,0.0006663281521488494,auc
6,0.8553798629282294,0.000581015122425209,auc
7,0.922435124664817,0.000491991832617414,auc
8,0.8524798674277709,0.0013620193383970215,auc
9,0.9802328518540717,0.00045178252014139335,auc
10,0.9158393778244063,0.0005897947131347186,auc
11,0.9270000357986247,0.0004577731522999398,auc
12,0.8545259620795924,0.0010868909521674925,auc
13,0.9145972519873299,0.0008063006829396592,auc
14,0.8544667759606609,0.0011350239414147434,auc
15,0.8552146802274283,0.00033981842316755084,auc
16,0.9660616992923357,0.001168242645882239,auc
17,0.9810581168293904,0.0007983910408690549,auc
18,0.9214084837068404,0.0003437499524336472,auc
19,0.9158393778244063,0.0005897947131347186,auc
20,0.9728690709818762,0.0004728847319433116,auc
21,0.8524798674277709,0.0013620193383970215,auc
22,0.922622162574822,0.00036691245307635573,auc
23,0.9118442659520308,0.0002914911808909253,auc
24,0.953941790703319,0.0006228510181411357,auc
25,0.8561586232940103,0.000627196365843011,auc
26,0.9808344187579839,0.0004526325205720367,auc
27,0.9156574785743775,0.0006596638480613164,auc
28,0.9265503695783288,0.0006501431044238625,auc
29,0.9156574785743775,0.0006596638480613164,auc
30,0.9559912416534392,0.0003187198651192789,auc
31,0.8554985359975061,0.0003424406882296683,auc
32,0.9723687871265023,0.0005328445888469583,auc
33,0.9265271363716089,0.0007029555417334279,auc
34,0.9118442659520308,0.0002914911808909253,auc
35,0.8543382324730876,0.0007031365227749911,auc
36,0.9500402975731932,0.001069942139360279,auc
37,0.8566390718547268,0.0007201016602622609,auc
38,0.8543382324730876,0.0007031365227749911,auc
