model,mean,std,score
0,0.7889006465457998,0.0030626448514909778,accuracy
1,,,accuracy
2,,,accuracy
3,0.7689215557607978,0.005916948700605794,accuracy
4,0.614195120614076,0.006927476446365229,accuracy
5,,,accuracy
6,0.94939412118003,0.0014151867924803803,accuracy
7,0.6141961722915439,0.01165720439576139,accuracy
8,0.7739320565923402,0.005370714809437472,accuracy
9,,,accuracy
10,,,accuracy
11,,,accuracy
12,0.6144208549389806,0.006904129330062894,accuracy
13,0.7813472789173903,0.004560613391098698,accuracy
14,0.9425396132455338,0.001574572283829653,accuracy
15,,,accuracy
16,,,accuracy
17,,,accuracy
18,0.9405234602382183,0.0014051388567615343,accuracy
19,0.9947905717607352,0.0003977979033320594,accuracy
20,0.9340039463405985,0.001532443086942485,accuracy
21,,,accuracy
22,,,accuracy
23,0.9282925346902845,0.004011379892979064,accuracy
24,0.7841818540108244,0.003417517799629016,accuracy
25,0.6162916664198593,0.006837997501363052,accuracy
26,,,accuracy
27,0.989636803285309,0.0003697395992270986,accuracy
28,,,accuracy
29,0.9928300785597564,0.00032708980794098465,accuracy
30,0.6204971472586248,0.0037296883339178136,accuracy
31,,,accuracy
32,0.6164648319475503,0.0064303421205281,accuracy
33,0.9906139586641853,0.0004923640774151241,accuracy
34,0.7757564753232786,0.0036167287729537323,accuracy
35,0.9731602101889264,0.001215091353467471,accuracy
36,,,accuracy
37,0.7839643653871918,0.0024660610554349364,accuracy
38,0.9885277122450382,0.00047828807752009445,accuracy
39,0.6203064580193989,0.003965107773355433,accuracy
40,,,accuracy
41,0.6137591345804787,0.01188675393361273,accuracy
42,0.9560198017193443,0.0014669123802815724,accuracy
43,0.6218391896177886,0.0041578396685722895,accuracy
44,0.996042937297697,0.0002424955045178135,accuracy
45,0.9183849352132724,0.0024896244877532572,accuracy
46,0.6141508189477655,0.01163045162587029,accuracy
47,,,accuracy
48,0.9545365479940408,0.001953867135252703,accuracy
49,0.7893201606090771,0.0021215623055336947,accuracy
0,0.7568354895311123,0.0033919839500686166,balanced_accuracy
1,,,balanced_accuracy
2,,,balanced_accuracy
3,0.7426390708292849,0.004132480431647295,balanced_accuracy
4,0.6202762514553064,0.0029934324199208163,balanced_accuracy
5,,,balanced_accuracy
6,0.9302643496305592,0.0015915008250402653,balanced_accuracy
7,0.6187693816835013,0.0037445244787522557,balanced_accuracy
8,0.7453437834248541,0.0043521969687838865,balanced_accuracy
9,,,balanced_accuracy
10,,,balanced_accuracy
11,,,balanced_accuracy
12,0.6201545802037628,0.0028600024107007377,balanced_accuracy
13,0.7528221257609886,0.002318038320532406,balanced_accuracy
14,0.9190897055732993,0.0012817413339693137,balanced_accuracy
15,,,balanced_accuracy
16,,,balanced_accuracy
17,,,balanced_accuracy
18,0.9166231570073602,0.0010806061369530023,balanced_accuracy
19,0.9929326470219676,0.0005533049625743786,balanced_accuracy
20,0.9041892594458802,0.0013703387239905368,balanced_accuracy
21,,,balanced_accuracy
22,,,balanced_accuracy
23,0.8989583634071725,0.003077223005526719,balanced_accuracy
24,0.7534756483892502,0.0034682671422256936,balanced_accuracy
25,0.621441611082523,0.0032049577569125817,balanced_accuracy
26,,,balanced_accuracy
27,0.9830775136121448,0.0007064180739833833,balanced_accuracy
28,,,balanced_accuracy
29,0.98576856256055,0.0009106999436330468,balanced_accuracy
30,0.6241307866024832,0.0028996662370357196,balanced_accuracy
31,,,balanced_accuracy
32,0.621640830990597,0.003180947358769137,balanced_accuracy
33,0.9797180251798968,0.0012088522460064395,balanced_accuracy
34,0.7480506529089207,0.0022341016194846954,balanced_accuracy
35,0.9469237448581064,0.001646138030708736,balanced_accuracy
36,,,balanced_accuracy
37,0.7530655333587919,0.0022936609059201352,balanced_accuracy
38,0.980564229354495,0.0007452770341171293,balanced_accuracy
39,0.6242663356688387,0.0027915568712307414,balanced_accuracy
40,,,balanced_accuracy
41,0.6187687738564177,0.0037928620737116996,balanced_accuracy
42,0.9400770451680371,0.002099869026380794,balanced_accuracy
43,0.6245816553725424,0.003030829341930527,balanced_accuracy
44,0.9943056821609135,0.0004682850565928047,balanced_accuracy
45,0.8879139299993236,0.002153734650382625,balanced_accuracy
46,0.6188293657923986,0.0038089098419506373,balanced_accuracy
47,,,balanced_accuracy
48,0.9371619936637823,0.002340126610577778,balanced_accuracy
49,0.7577489141321051,0.0019196534006803464,balanced_accuracy
0,0.36039135096471364,0.0045166762366837575,precision
1,,,precision
2,,,precision
3,0.33460272245256545,0.00700187178360877,precision
4,0.20319024941740044,0.0026903274415678927,precision
5,,,precision
6,0.7660676118939412,0.00682322491837157,precision
7,0.2025774674424389,0.0039026854123685147,precision
8,0.3404445015851312,0.006656002280020437,precision
9,,,precision
10,,,precision
11,,,precision
12,0.2031847565168885,0.002661723906541798,precision
13,0.3507395777927242,0.0053129545275376906,precision
14,0.7414159407165992,0.0074126451344968475,precision
15,,,precision
16,,,precision
17,,,precision
18,0.7335319852189129,0.007041992637160028,precision
19,0.971850371601772,0.0023230097788287875,precision
20,0.7124476250087662,0.007397069813221685,precision
21,,,precision
22,,,precision
23,0.690267699526735,0.01616314399394875,precision
24,0.3539720903597804,0.0047696427837657955,precision
25,0.20418832852125224,0.0028661517445127175,precision
26,,,precision
27,0.9509217931157306,0.0023704989299394635,precision
28,,,precision
29,0.9713461912597845,0.0018388682444066648,precision
30,0.2063399965860741,0.001959412807289116,precision
31,,,precision
32,0.20431206575779406,0.0027513238299530307,precision
33,0.9661770116194115,0.002305254258507429,precision
34,0.34320049956038945,0.0043070036086712725,precision
35,0.8938124829614154,0.006879747778256943,precision
36,,,precision
37,0.3535715741422253,0.0033452088453331174,precision
38,0.9472592309967593,0.0027898309809571338,precision
39,0.20636113739811496,0.002034363765745443,precision
40,,,precision
41,0.2024862390819721,0.003956939464274928,precision
42,0.791707591532316,0.006123384422218165,precision
43,0.20686569690407053,0.0021713620443639366,precision
44,0.9792515454088884,0.0016377689114599613,precision
45,0.6547951493756561,0.008988479414847967,precision
46,0.20259449941022986,0.003916977426200592,precision
47,,,precision
48,0.786758847718514,0.00849178109950087,precision
49,0.36116289511796484,0.0029270339868556227,precision
0,0.7127924706888087,0.00467579481854782,recall
1,,,recall
2,,,recall
3,0.7065388138140588,0.005148525015839497,recall
4,0.6286289918340197,0.006237940868020332,recall
5,,,recall
6,0.9039887020180915,0.0031177528920684977,recall
7,0.6250509710135808,0.011262362932764525,recall
8,0.7060764221263853,0.005783915096245132,recall
9,,,recall
10,,,recall
11,,,recall
12,0.6280301457712036,0.005779223719132862,recall
13,0.7136414626129216,0.006226987333014344,recall
14,0.8868801440727637,0.002547575852558095,recall
15,,,recall
16,,,recall
17,,,recall
18,0.8837949621785667,0.0030206556085548273,recall
19,0.9903806962611382,0.0008840951959005516,recall
20,0.8632373735001154,0.0037413885819863302,recall
21,,,recall
22,,,recall
23,0.8586664777161677,0.004923577934807164,recall
24,0.7112992046014441,0.00516096448856264,recall
25,0.6285153198833735,0.0049082454201540065,recall
26,,,recall
27,0.9740680172153333,0.001423445872169462,recall
28,,,recall
29,0.976069229497036,0.0018528641950991368,recall
30,0.6291217618114094,0.0057028878384979605,recall
31,,,recall
32,0.6287503205547056,0.0050549208922792835,recall
33,0.9647519378879321,0.0023177488032926135,recall
34,0.7099953760601404,0.0037465790453003974,recall
35,0.9108867192421582,0.002716568136812259,recall
36,,,recall
37,0.7106245216960664,0.003543865100383103,recall
38,0.9696260057971274,0.0013196033282325262,recall
39,0.6297054213149492,0.004728446123279407,recall
40,,,recall
41,0.625649816501823,0.011642080294211404,recall
42,0.9181789124578028,0.0031923459339566027,recall
43,0.6283485665096946,0.005388927030777511,recall
44,0.991919478358725,0.0009497959358060097,recall
45,0.8460605533182163,0.002635746278664741,recall
46,0.6252556405102453,0.0112657754643258,recall
47,,,recall
48,0.9132972245512889,0.003084869212500944,recall
49,0.7143843031824446,0.0032852081372452364,recall
0,0.7568354895311125,0.003391983950068626,auc
1,,,auc
2,,,auc
3,0.7426390708292849,0.004132480431647277,auc
4,0.6202762514553064,0.0029934324199208193,auc
5,,,auc
6,0.9302643496305592,0.001591500825040261,auc
7,0.6187693816835013,0.0037445244787522557,auc
8,0.7453437834248541,0.004352196968783908,auc
9,,,auc
10,,,auc
11,,,auc
12,0.6201545802037628,0.002860002410700735,auc
13,0.7528221257609886,0.0023180383205324,auc
14,0.9190897055732993,0.0012817413339693173,auc
15,,,auc
16,,,auc
17,,,auc
18,0.9166231570073602,0.00108060613695302,auc
