model,mean,std,score
0,0.6457689292901101,0.03460019557359009,accuracy
1,0.9741917123405195,0.003338904446578228,accuracy
2,0.8117325640486236,0.00588274637455346,accuracy
3,0.6956313013090356,0.015162973004487327,accuracy
4,0.6545332707349019,0.02887754362115268,accuracy
5,0.8099238687981074,0.006560358814900187,accuracy
6,0.8129788905445805,0.0065169665360860374,accuracy
7,0.694409773096051,0.019425054123489986,accuracy
8,0.6506649946174281,0.03231115935551418,accuracy
9,0.6932035754450301,0.017410472193760698,accuracy
10,0.6938069390386625,0.018145290794222675,accuracy
11,0.6956313013090356,0.015162973004487327,accuracy
12,0.8926342700827858,0.0036701714453315644,accuracy
13,0.694409773096051,0.019425054123489986,accuracy
14,0.8111739845956443,0.0073659132711345245,accuracy
15,0.6963701656094647,0.01594286057599144,accuracy
16,0.7813112029535672,0.006326988312111244,accuracy
17,0.9555476350002127,0.0034350478934310996,accuracy
18,0.9533625192275148,0.0029818483313836124,accuracy
19,0.6506649946174281,0.03231115935551418,accuracy
20,0.7788262845263563,0.007089248026797175,accuracy
21,0.8101495833801488,0.007120688158835844,accuracy
22,0.8126994788337132,0.0064374307150151956,accuracy
23,0.9099268266714692,0.004279894379625979,accuracy
24,0.6957894812729941,0.015223436699103664,accuracy
25,0.9019892214611216,0.00465801800411958,accuracy
26,0.6457689292901101,0.03460019557359009,accuracy
27,0.9543112993768393,0.003306059948647132,accuracy
28,0.7812098895407434,0.007270096384481127,accuracy
29,0.6523551632728715,0.030873867947553247,accuracy
30,0.8104216661011678,0.00579046541669265,accuracy
31,0.8994006495685894,0.004616090227732363,accuracy
32,0.8124225279695585,0.00642708108259312,accuracy
33,0.694212016424125,0.015441426363667562,accuracy
34,0.7789959533604551,0.005679245452282531,accuracy
35,0.8102848069753319,0.007092989075063124,accuracy
36,0.6533878023202064,0.028971534304380882,accuracy
37,0.6954453544636694,0.015647039142009864,accuracy
38,0.9709197854264446,0.0032719527220047596,accuracy
39,0.7810323685781327,0.006855334732260062,accuracy
40,0.6533878023202064,0.028971534304380882,accuracy
41,0.8137531618679376,0.005798478441404089,accuracy
42,0.8932700335644054,0.004013442219815405,accuracy
43,0.8122522457810699,0.006562989399353446,accuracy
44,0.7805328987157867,0.007334658637970901,accuracy
45,0.7791117305656812,0.007722274177659469,accuracy
46,0.7778338729890604,0.007863643954164336,accuracy
47,0.6549664198344679,0.02929969140250413,accuracy
48,0.6549664198344679,0.02929969140250413,accuracy
49,0.9725654562907429,0.003222201419024177,accuracy
0,0.6964864809899487,0.023556256569117067,balanced_accuracy
1,0.9767697633113505,0.002783457719046122,balanced_accuracy
