model,mean,std,score
0,0.771832300468931,0.011790105605153983,accuracy
1,0.9559167711572549,0.006530127019076517,accuracy
2,0.7760410492697466,0.012702641581413458,accuracy
3,0.7725458416875087,0.012582645888259279,accuracy
4,0.8825460661669604,0.011787755741571298,accuracy
5,0.9803940999026001,0.0043758452728851266,accuracy
6,0.7768360179545847,0.01267769626792348,accuracy
7,0.8875229262218352,0.012193607330164724,accuracy
8,0.7714031639302654,0.01227883966914262,accuracy
9,0.9786588407112319,0.005116805980068446,accuracy
10,0.8789743492163323,0.012684080501689347,accuracy
11,0.8928442444787583,0.012141459336276268,accuracy
12,0.7748355208665748,0.011996452645844454,accuracy
13,0.8751010751817894,0.012162984848827987,accuracy
14,0.7751908283479307,0.01270168573984614,accuracy
15,0.7760410492697466,0.012702641581413458,accuracy
16,0.9608042802760857,0.005580496153619542,accuracy
17,0.9773191166453128,0.004641412385229817,accuracy
18,0.8846536147238379,0.01175691490873747,accuracy
19,0.8789743492163323,0.012684080501689347,accuracy
20,0.9725606124874988,0.004777673484412263,accuracy
21,0.7714031639302654,0.01227883966914262,accuracy
22,0.8878585453648691,0.011889780018880679,accuracy
23,0.8704223208754642,0.011813898043717262,accuracy
24,0.9519498914017573,0.006331857940896734,accuracy
25,0.777353384646444,0.012838379239833646,accuracy
26,0.979297823402091,0.00493248249640089,accuracy
27,0.8783174552697524,0.01259994193206598,accuracy
28,0.892352689954091,0.012117781001588867,accuracy
29,0.8783174552697524,0.01259994193206598,accuracy
30,0.9565961650170516,0.006636451487931992,accuracy
31,0.7761942235369772,0.0127766327404606,accuracy
32,0.9720709733321229,0.004814572574254168,accuracy
33,0.8905520826182786,0.012618636459383516,accuracy
34,0.8704223208754642,0.011813898043717262,accuracy
35,0.7740620038115436,0.012423492885808744,accuracy
36,0.9443480389699918,0.006604806641303068,accuracy
37,0.7779468028778911,0.013144547088630592,accuracy
38,0.7740620038115436,0.012423492885808744,accuracy
39,0.8783174552697524,0.01259994193206598,accuracy
40,0.7725333971899817,0.011931517636716514,accuracy
41,0.9680125573274341,0.004902787589951172,accuracy
42,0.7771228040817888,0.012744438274568006,accuracy
43,0.8704223208754642,0.011813898043717262,accuracy
44,0.9559167711572549,0.006530127019076517,accuracy
45,0.9754788523462613,0.005096029994229394,accuracy
46,0.9559167711572549,0.006530127019076517,accuracy
47,0.7761942235369772,0.0127766327404606,accuracy
48,0.8945938765312773,0.012424592196424743,accuracy
49,0.8751010751817894,0.012162984848827987,accuracy
0,0.7723363645807165,0.012701254919703447,balanced_accuracy
1,0.9560830133395287,0.007059936117542134,balanced_accuracy
2,0.7764983612655169,0.013593304115961801,balanced_accuracy
3,0.7729921970066609,0.01335543494865562,balanced_accuracy
4,0.8827148514302285,0.012790033962116025,balanced_accuracy
5,0.9803710519149493,0.005294015698931034,balanced_accuracy
6,0.7772662311735263,0.01363218896224242,balanced_accuracy
7,0.8878541669073439,0.013062054226036872,balanced_accuracy
8,0.771781568045345,0.012987213944860148,balanced_accuracy
9,0.9786668889256289,0.005973617978160777,balanced_accuracy
10,0.8793365084897864,0.013502886724129652,balanced_accuracy
11,0.8932062013228101,0.013041880100501542,balanced_accuracy
12,0.7752080768794352,0.013034414477715358,balanced_accuracy
13,0.8754633262690132,0.012959801200738754,balanced_accuracy
14,0.7756444609193964,0.013670765261922986,balanced_accuracy
15,0.7764983612655169,0.013593304115961801,balanced_accuracy
16,0.9608771178865497,0.006169194588850699,balanced_accuracy
17,0.9772846084667188,0.005564244726499074,balanced_accuracy
18,0.8849731073375541,0.012566431170176784,balanced_accuracy
19,0.8793365084897864,0.013502886724129652,balanced_accuracy
20,0.9726303360363779,0.005548449608258043,balanced_accuracy
21,0.771781568045345,0.012987213944860148,balanced_accuracy
22,0.8882140217751082,0.012752558831445868,balanced_accuracy
23,0.8707824417978266,0.01250722039524827,balanced_accuracy
24,0.9520907890639553,0.006867517944812915,balanced_accuracy
25,0.7778631012326473,0.01376182806444686,balanced_accuracy
26,0.9793090853319766,0.005788266586706341,balanced_accuracy
27,0.8786859669085935,0.013384742012086755,balanced_accuracy
28,0.8926955864373124,0.013042527108405678,balanced_accuracy
29,0.8786859669085935,0.013384742012086755,balanced_accuracy
30,0.9567660395095128,0.007163214221698,balanced_accuracy
31,0.7766512692992897,0.013670706819121763,balanced_accuracy
32,0.9721383189966218,0.005570228509063658,balanced_accuracy
33,0.8908332885237449,0.013595885027274818,balanced_accuracy
34,0.8707824417978266,0.01250722039524827,balanced_accuracy
35,0.7744636647406463,0.013332624648751047,balanced_accuracy
36,0.9444724730728513,0.00710270673905889,balanced_accuracy
37,0.7784061096170557,0.014025893264985921,balanced_accuracy
38,0.7744636647406463,0.013332624648751047,balanced_accuracy
39,0.8786859669085935,0.013384742012086755,balanced_accuracy
40,0.7728990746038927,0.012962350201365222,balanced_accuracy
41,0.9680546055755176,0.005632926683732687,balanced_accuracy
42,0.7776379327777657,0.013688493852711526,balanced_accuracy
43,0.8707824417978266,0.01250722039524827,balanced_accuracy
44,0.9560830133395287,0.007059936117542134,balanced_accuracy
45,0.9754601111385206,0.005963940645689301,balanced_accuracy
46,0.9560830133395287,0.007059936117542134,balanced_accuracy
47,0.7766512692992897,0.013670706819121763,balanced_accuracy
48,0.8949197824074119,0.013424004900940745,balanced_accuracy
49,0.8754633262690132,0.012959801200738754,balanced_accuracy
0,0.758219526896396,0.018053244990631306,precision
1,0.9440713607808858,0.005411713487488998,precision
2,0.7624375624310338,0.016256526285434662,precision
3,0.758930312219352,0.0181542638927299,precision
4,0.8640554185988607,0.01059353241618797,precision
5,0.967740978651244,0.004610445586401,precision
6,0.7636455085706255,0.015901960147107562,precision
7,0.8689171680552661,0.009914367746458626,precision
8,0.759466487787333,0.017092758527262702,precision
9,0.9659484466182165,0.005734755456529913,precision
10,0.8614799566921851,0.009344340918000321,precision
11,0.8728385336183543,0.0102579986891172,precision
12,0.762090104698151,0.01578671244044585,precision
13,0.8579197419061538,0.01009972022482193,precision
14,0.7614257167493951,0.016637271149459586,precision
15,0.7624375624310338,0.016256526285434662,precision
16,0.948459247253169,0.00620399468022763,precision
17,0.9648000263982588,0.004661391906640311,precision
18,0.866867963184931,0.01013380230404786,precision
19,0.8614799566921851,0.009344340918000321,precision
20,0.9591735695847537,0.005180579878429249,precision
21,0.759466487787333,0.017092758527262702,precision
22,0.8690158479584669,0.009957481582371051,precision
23,0.8539235514393377,0.01062927887168705,precision
24,0.9406064989311467,0.005179831646547406,precision
25,0.763599831043501,0.016590075300372677,precision
26,0.9664921146769595,0.005695300610794344,precision
27,0.8609133936090165,0.009718667392155727,precision
28,0.8725662482192786,0.01021726931789146,precision
