model,mean,std,score
0,0.7425611915066501,0.03450964935595326,accuracy
1,0.9791331418546406,0.0018884219989984126,accuracy
2,0.8606444709783734,0.008862792359817899,accuracy
3,0.7707057244345623,0.027101354605468635,accuracy
4,0.7480506300836578,0.03518913994770494,accuracy
5,0.859438733152164,0.008225531858148272,accuracy
6,0.8603078009860425,0.008366557095572437,accuracy
7,0.7750281980271164,0.024422299024044223,accuracy
8,0.7437414010776136,0.03507912028669592,accuracy
9,0.7711551013335503,0.025738295383428998,accuracy
10,0.7708050057400053,0.026861049894937546,accuracy
11,0.7707052649855336,0.027101431716212186,accuracy
12,0.9161475643847402,0.00394753637712767,accuracy
13,0.7750281980271164,0.024422299024044223,accuracy
14,0.8595910531770801,0.0085077684592098,accuracy
15,0.7737898217200485,0.025967299968331407,accuracy
16,0.8338885630143852,0.011439488676479974,accuracy
17,0.9549594795006873,0.001384981631245894,accuracy
18,0.9520159785504501,0.001317693699360817,accuracy
19,0.7437414010776136,0.03507912028669592,accuracy
20,0.8341707477389352,0.01203598608275758,accuracy
21,0.8587406269790021,0.009077589691970585,accuracy
22,0.8605366233702283,0.008743245624611734,accuracy
23,0.9293232826046023,0.0038828335361148505,accuracy
24,0.7691474745158884,0.027190183208505383,accuracy
25,0.9204506884033283,0.003611684422569046,accuracy
26,0.7425611915066501,0.03450964935595326,accuracy
27,0.9573489407565459,0.0014989667733154599,accuracy
28,0.8334634593037757,0.011030572568378557,accuracy
29,0.7438010456091425,0.035037364845531785,accuracy
30,0.8600280430977268,0.008828172404965735,accuracy
31,0.9239403811528909,0.004232666030007124,accuracy
32,0.8600225808784152,0.008666231482951637,accuracy
33,0.7698240605230202,0.027332833684070863,accuracy
34,0.8327539368145104,0.01232925868994392,accuracy
35,0.8593535030933761,0.008012321729228899,accuracy
36,0.7471125703936851,0.035097721700198044,accuracy
37,0.7703637331404996,0.027610784693102037,accuracy
38,0.9720303030282494,0.002326226559842188,accuracy
39,0.8336784640817235,0.011933638148631473,accuracy
40,0.7471125703936851,0.035097721700198044,accuracy
41,0.861470038116918,0.008288098786445732,accuracy
42,0.9145937426378592,0.004548124240229045,accuracy
43,0.8597564949176058,0.008493532891526004,accuracy
44,0.8334492756985697,0.011291539186388451,accuracy
45,0.8331922333471551,0.012569899868588738,accuracy
46,0.8313431318285684,0.012765879596757882,accuracy
47,0.7480421746946967,0.035373305727618216,accuracy
48,0.7480421746946967,0.035373305727618216,accuracy
49,0.976842250518767,0.0024066261634998324,accuracy
0,0.7962582684596529,0.0243089097906735,balanced_accuracy
1,0.9842289819693111,0.0013289556308597496,balanced_accuracy
2,0.8802805465811909,0.007858728037993363,balanced_accuracy
3,0.8133301808566296,0.019748383317253156,balanced_accuracy
4,0.7986674422747222,0.024344250106675774,balanced_accuracy
5,0.8779698317479938,0.007578686841364948,balanced_accuracy
6,0.8799179981254339,0.007479291944607439,balanced_accuracy
7,0.8165651098750653,0.017542948092115276,balanced_accuracy
8,0.7967692294243891,0.024443573979193705,balanced_accuracy
9,0.8141720861627364,0.018294930779811237,balanced_accuracy
