model,mean,std,score
0,0.7308570925148863,0.03310198562522989,accuracy
1,0.9754280652674325,0.0027746646284603324,accuracy
2,0.8547962789395387,0.00625624223568264,accuracy
3,0.7598480444538214,0.02800517401047883,accuracy
4,0.73643050791157,0.03399851660677199,accuracy
5,0.853796339363043,0.006242182286091115,accuracy
6,0.8541836787585578,0.005732958592581252,accuracy
7,0.7636837293320422,0.02517206011094659,accuracy
8,0.7322858562531537,0.033822373378574244,accuracy
9,0.7610562637069507,0.027497871624956097,accuracy
10,0.7584200193896298,0.02875421879686019,accuracy
11,0.7598480444538214,0.02800517401047883,accuracy
12,0.913483916342597,0.003313198035770672,accuracy
13,0.7636837293320422,0.02517206011094659,accuracy
14,0.8535650455176391,0.005819109234172895,accuracy
15,0.7631910912366051,0.024948379870221023,accuracy
16,0.8239147173263299,0.010370948047229489,accuracy
17,0.9509869421403965,0.0011715677555439925,accuracy
18,0.9478997337190672,0.0015414894120247594,accuracy
19,0.7322858562531537,0.033822373378574244,accuracy
20,0.8238333506363994,0.010068805198127442,accuracy
21,0.8534304210868355,0.006265119688321837,accuracy
22,0.8541077024979866,0.00610067964866492,accuracy
23,0.9240662524270141,0.0030757487261266975,accuracy
24,0.759320119013511,0.027297885656198267,accuracy
25,0.9167306398802457,0.003166905839194164,accuracy
26,0.7308570925148863,0.03310198562522989,accuracy
27,0.9553705107927862,0.0022453879552018817,accuracy
28,0.8236562630259823,0.0105609800323908,accuracy
29,0.7327932791769025,0.03414145393980991,accuracy
30,0.8528631810650945,0.006532193327123186,accuracy
31,0.9214622141800277,0.0031187233149083285,accuracy
32,0.8536993493760615,0.005711219859855899,accuracy
33,0.7614499058755959,0.026784541298377953,accuracy
34,0.8254117451277755,0.010506700725043512,accuracy
35,0.8534847358290807,0.005907481157898796,accuracy
36,0.7354588042352247,0.03394290154644261,accuracy
37,0.7591453566450216,0.028507199504026935,accuracy
38,0.9669908079804199,0.002013439756734125,accuracy
39,0.8233248533317257,0.010724465343501098,accuracy
40,0.7354588042352247,0.03394290154644261,accuracy
41,0.8546973037110286,0.005856462831322764,accuracy
42,0.910291945438967,0.0039281761952348025,accuracy
43,0.854135952731884,0.005510727090210908,accuracy
44,0.8237595617602869,0.010383299297034432,accuracy
45,0.8243083116585219,0.010403766455049064,accuracy
46,0.8225915427362902,0.01224400432808679,accuracy
47,0.7367974094458659,0.03401325008065665,accuracy
48,0.7367974094458659,0.03401325008065665,accuracy
49,0.9739455170404993,0.0026799782956243843,accuracy
0,0.8019143099171567,0.02174658721146742,balanced_accuracy
1,0.9830928258100385,0.001940003294042832,balanced_accuracy
2,0.8854260458230749,0.005705277091974606,balanced_accuracy
3,0.8175699644822467,0.019053974285680654,balanced_accuracy
4,0.8039262528657365,0.0219727217633422,balanced_accuracy
5,0.8824956622837279,0.00580362307384597,balanced_accuracy
6,0.8848373109789902,0.0055283393267738425,balanced_accuracy
7,0.8199295180043383,0.01675323832086318,balanced_accuracy
8,0.8024830723054295,0.022056955097273748,balanced_accuracy
9,0.8184661194347915,0.018722511849743138,balanced_accuracy
10,0.8171280930303674,0.019704656732017038,balanced_accuracy
11,0.8175699644822467,0.019053974285680654,balanced_accuracy
12,0.9319312488580013,0.0041797700693237344,balanced_accuracy
13,0.8199295180043383,0.01675323832086318,balanced_accuracy
14,0.8824480713252624,0.005611045222068181,balanced_accuracy
15,0.8197877373130094,0.016239523840698458,balanced_accuracy
16,0.8613810656282836,0.0069178118994864535,balanced_accuracy
17,0.9663563598470589,0.0014405841463246737,balanced_accuracy
18,0.9639851502329836,0.001746692316601194,balanced_accuracy
19,0.8024830723054295,0.022056955097273748,balanced_accuracy
20,0.860775629651789,0.007080170346134065,balanced_accuracy
21,0.8822226536959882,0.005672177309115094,balanced_accuracy
22,0.8831521395606531,0.005925426557362203,balanced_accuracy
23,0.9462796145965642,0.0026543405738946014,balanced_accuracy
24,0.8178264360259664,0.018278263654110692,balanced_accuracy
25,0.9393249988044099,0.003160756849580687,balanced_accuracy
26,0.8019143099171567,0.02174658721146742,balanced_accuracy
27,0.966103949106017,0.0023921905728493905,balanced_accuracy
28,0.8605724640804926,0.00722799827455298,balanced_accuracy
29,0.8027839687908938,0.022125461596792604,balanced_accuracy
30,0.8835977542001248,0.005493188704505478,balanced_accuracy
31,0.9396994254728883,0.0038960782896693778,balanced_accuracy
32,0.8844152175156836,0.005616190242916727,balanced_accuracy
33,0.8186549065118913,0.018092886734712488,balanced_accuracy
34,0.8608429257886525,0.007694716826408286,balanced_accuracy
