model,mean,std,score
0,0.6899257024877098,0.023929745078229873,accuracy
1,0.9652930418595418,0.0017685641320645848,accuracy
2,0.7580951752249041,0.013481126047489547,accuracy
3,0.696118131392153,0.020240624498433852,accuracy
4,0.6899113384393423,0.021025163144640226,accuracy
5,0.7590575472591644,0.011576982404108054,accuracy
6,0.7579353091403398,0.013285192210507573,accuracy
7,0.6938555804106379,0.023519554365665316,accuracy
8,0.6905600404009758,0.02340795067318856,accuracy
9,0.6953862588399691,0.02195126775258742,accuracy
10,0.6961141798633939,0.02099388947412957,accuracy
11,0.6961210931967212,0.020243023200524995,accuracy
12,0.8553550930648375,0.002659463724147467,accuracy
13,0.6938555804106379,0.023519554365665316,accuracy
14,0.7588327286549497,0.012271911692527384,accuracy
15,0.693628688696801,0.022163574269295647,accuracy
16,0.7291950031435641,0.016566696766665456,accuracy
17,0.9259943546186942,0.0021850866763860294,accuracy
18,0.9218742529978418,0.002183490922647424,accuracy
19,0.6905600404009758,0.02340795067318856,accuracy
20,0.7283206754102703,0.017569822987768654,accuracy
21,0.757957099800563,0.012031091272705047,accuracy
22,0.759395586053538,0.012011163850313184,accuracy
23,0.8744097286890745,0.004689429486687,accuracy
24,0.695126865876663,0.021195969054309625,accuracy
25,0.860517492252873,0.003800110812384987,accuracy
26,0.6899257024877098,0.023929745078229873,accuracy
27,0.9336725252036089,0.0037259652565852733,accuracy
28,0.7308910498799543,0.01639941149924997,accuracy
29,0.6909318691186533,0.022614242838536816,accuracy
30,0.7573807468000164,0.013099770043398762,accuracy
31,0.8683630942625196,0.0038610503425309303,accuracy
32,0.7577401867788576,0.01337505114056322,accuracy
33,0.6953968835670874,0.02139451462773681,accuracy
34,0.7292237858831505,0.016082953840873094,accuracy
35,0.7586693764494877,0.012324792328411835,accuracy
36,0.6898433331520835,0.02267215637985871,accuracy
37,0.6959411297037834,0.02043137120616011,accuracy
38,0.9532244969589884,0.002854388830588464,accuracy
39,0.7295877853414949,0.016542730310639634,accuracy
40,0.6898433331520835,0.02267215637985871,accuracy
41,0.7592226509865017,0.01243837815385298,accuracy
42,0.8484000426858795,0.004501420487545175,accuracy
43,0.7593378407984409,0.011902825254376026,accuracy
44,0.7299074735127824,0.01613104304103029,accuracy
45,0.729657054578736,0.014518766335734075,accuracy
46,0.7279461936201534,0.01658098951148655,accuracy
47,0.6898027337079279,0.0205298920063272,accuracy
48,0.6898027337079279,0.0205298920063272,accuracy
49,0.962787281671958,0.002414450865999626,accuracy
0,0.6687916038881142,0.02629030784388171,balanced_accuracy
1,0.9715950112665726,0.0022351102199525477,balanced_accuracy
2,0.7878544574395653,0.0073271962206214675,balanced_accuracy
3,0.7120074818486692,0.016731575811171018,balanced_accuracy
4,0.6694288633822065,0.02623751945980024,balanced_accuracy
5,0.7844813669464188,0.006795793516634119,balanced_accuracy
6,0.787469151341984,0.006704548167715846,balanced_accuracy
7,0.7121806094382845,0.017149217259077136,balanced_accuracy
8,0.6719551650711304,0.028265323757150376,balanced_accuracy
9,0.7128500104217501,0.01631407642380672,balanced_accuracy
10,0.7131361246607403,0.016231312091816226,balanced_accuracy
11,0.7120095316338517,0.016729186927363752,balanced_accuracy
12,0.8693493532614742,0.005881227323974247,balanced_accuracy
13,0.7121806094382845,0.017149217259077136,balanced_accuracy
14,0.784499159631266,0.006644880271249655,balanced_accuracy
15,0.7109713585909894,0.017280934849842177,balanced_accuracy
16,0.7610734911727157,0.008390479008217582,balanced_accuracy
17,0.9461733755027681,0.003934654650688106,balanced_accuracy
18,0.9428432180423116,0.003943932765932361,balanced_accuracy
19,0.6719551650711304,0.028265323757150376,balanced_accuracy
20,0.7594313109156272,0.00896490318625038,balanced_accuracy
21,0.783408198461893,0.007749070898850555,balanced_accuracy
22,0.785844424841681,0.007221279857054336,balanced_accuracy
23,0.8981044364297265,0.005467847415024351,balanced_accuracy
24,0.7125470660511741,0.016097211547613358,balanced_accuracy
25,0.8848977586970257,0.006529773406101599,balanced_accuracy
26,0.6687916038881142,0.02629030784388171,balanced_accuracy
27,0.9414662399411458,0.0047259735543349335,balanced_accuracy
28,0.7604089752795218,0.008623289460823308,balanced_accuracy
29,0.6715454487662258,0.027088240277058417,balanced_accuracy
