model,mean,std,score
0,0.8507373480379121,0.0116086844633795,accuracy
1,0.9757097845324291,0.003741295596141439,accuracy
2,0.8552633513717112,0.013113222094702622,accuracy
3,0.8514546243515622,0.011963054708684017,accuracy
4,0.9438009248332342,0.007213020979551659,accuracy
5,0.9953211405953306,0.0009610043658974088,accuracy
6,0.8565332488450184,0.01316073906050449,accuracy
7,0.9477187048785399,0.008284940400472054,accuracy
8,0.848462692717011,0.013299152653423834,accuracy
9,0.9939588146858755,0.0011336112615049577,accuracy
10,0.9390931492723608,0.008688044723332258,accuracy
11,0.9529560251455281,0.007283635616003696,accuracy
12,0.8537875401648753,0.01304639780561677,accuracy
13,0.9358697884379383,0.008503716272607658,accuracy
14,0.8538290292796255,0.012020911557800024,accuracy
15,0.8552633513717112,0.013113222094702622,accuracy
16,0.982147639764646,0.0029273812700414026,accuracy
17,0.9937596939891519,0.0012723138500492258,accuracy
18,0.9447285787499163,0.008090033793772043,accuracy
19,0.9390931492723608,0.008688044723332258,accuracy
20,0.9892928801105894,0.0015534734897770543,accuracy
21,0.848462692717011,0.013299152653423834,accuracy
22,0.9479156778471666,0.008305143499080974,accuracy
23,0.930597475683847,0.008684314167197095,accuracy
24,0.9734053711971512,0.00399302836225092,accuracy
25,0.8567704292666297,0.012821997733851447,accuracy
26,0.9942485551352498,0.0011888828163587593,accuracy
27,0.938862715492532,0.00869180645681867,accuracy
28,0.9525128596007779,0.007512647043188709,accuracy
29,0.938862715492532,0.00869180645681867,accuracy
30,0.9762366745770956,0.0035990717924997244,accuracy
31,0.8552743815491433,0.013195647940158128,accuracy
32,0.9890091782550614,0.0016074605686315945,accuracy
33,0.9509050149041178,0.007475335253697437,accuracy
34,0.930597475683847,0.008684314167197095,accuracy
35,0.8519281512107468,0.012937257346443763,accuracy
36,0.968836590856758,0.004278474962563675,accuracy
37,0.8575492540342833,0.012788073628851223,accuracy
38,0.8519281512107468,0.012937257346443763,accuracy
39,0.938862715492532,0.00869180645681867,accuracy
40,0.8498013090396543,0.012863405179182812,accuracy
41,0.9868664160942112,0.0018460347202797689,accuracy
42,0.8569499241706134,0.012799915301481304,accuracy
43,0.930597475683847,0.008684314167197095,accuracy
44,0.9757097845324291,0.003741295596141439,accuracy
45,0.9921038888239249,0.0013748628814752575,accuracy
46,0.9757097845324291,0.003741295596141439,accuracy
47,0.8552743815491433,0.013195647940158128,accuracy
48,0.9542123975429359,0.007615291933219188,accuracy
49,0.9358697884379383,0.008503716272607658,accuracy
0,0.8579014224166098,0.013694665403840917,balanced_accuracy
1,0.9785397170431539,0.004362186951717107,balanced_accuracy
2,0.8619847626518415,0.014954834638478064,balanced_accuracy
3,0.8584485400596744,0.014417756449626208,balanced_accuracy
4,0.9479177667624352,0.007706703734242737,balanced_accuracy
5,0.9963504893098205,0.0007147635347677778,balanced_accuracy
6,0.8634063857799046,0.014954968950527881,balanced_accuracy
7,0.9523884556859358,0.008886160626103484,balanced_accuracy
8,0.8555363951452495,0.01430098793755399,balanced_accuracy
9,0.9952472330834684,0.0009677531134580264,balanced_accuracy
10,0.9441275775633905,0.00978904896778274,balanced_accuracy
11,0.9580219029308626,0.007849935895068626,balanced_accuracy
12,0.8609309213941236,0.014916997435525254,balanced_accuracy
13,0.9406331913631633,0.009514935732172896,balanced_accuracy
14,0.8609768883444755,0.013919556095694386,balanced_accuracy
15,0.8619847626518415,0.014954834638478064,balanced_accuracy
16,0.9831822492565795,0.002838684236662705,balanced_accuracy
17,0.9947131382371757,0.0009754767486943856,balanced_accuracy
18,0.9491467616217211,0.008686778207723393,balanced_accuracy
19,0.9441275775633905,0.00978904896778274,balanced_accuracy
20,0.9912435953634416,0.0017166880776199012,balanced_accuracy
21,0.8555363951452495,0.01430098793755399,balanced_accuracy
22,0.9528761459826812,0.00896726150690102,balanced_accuracy
23,0.9352133117575795,0.009835136478039306,balanced_accuracy
24,0.9759064583151495,0.004513617235956741,balanced_accuracy
25,0.8638887376518406,0.014692433603893029,balanced_accuracy
26,0.9955618407109046,0.0009621458742855364,balanced_accuracy
27,0.9437736525625585,0.009783276338992092,balanced_accuracy
28,0.9573463965638803,0.00812642212620105,balanced_accuracy
29,0.9437736525625585,0.009783276338992092,balanced_accuracy
30,0.9791517029698962,0.004279463594354988,balanced_accuracy
31,0.862178634050472,0.0150515211714767,balanced_accuracy
32,0.9909071968827142,0.0017879481552996283,balanced_accuracy
33,0.9553572183479625,0.007814458155429254,balanced_accuracy
34,0.9352133117575795,0.009835136478039306,balanced_accuracy
35,0.8590265274653011,0.014268663943137427,balanced_accuracy
36,0.9709120478270628,0.004714732706356028,balanced_accuracy
37,0.864398144246605,0.014729902817637787,balanced_accuracy
38,0.8590265274653011,0.014268663943137427,balanced_accuracy
39,0.9437736525625585,0.009783276338992092,balanced_accuracy
40,0.8570962564198787,0.014703117910329272,balanced_accuracy
41,0.9884520135948737,0.0019217391524880623,balanced_accuracy
42,0.8640238097553057,0.014727404912634868,balanced_accuracy
43,0.9352133117575795,0.009835136478039306,balanced_accuracy
44,0.9785397170431539,0.004362186951717107,balanced_accuracy
45,0.9933058535694247,0.0012138288532797749,balanced_accuracy
46,0.9785397170431539,0.004362186951717107,balanced_accuracy
47,0.862178634050472,0.0150515211714767,balanced_accuracy
48,0.9593451580223746,0.008069350644018933,balanced_accuracy
49,0.9406331913631633,0.009514935732172896,balanced_accuracy
0,0.7023364059276763,0.03441916683820548,precision
1,0.9372190068487182,0.008713382149619723,precision
2,0.7104073967026202,0.032186000072414914,precision
3,0.7038548051126713,0.032561616233913473,precision
4,0.8683582003951038,0.016247941646138978,precision
5,0.9853741756031729,0.003995061257162224,precision
6,0.7121940928894946,0.03217916931359345,precision
7,0.875394703293825,0.016659839100264494,precision
8,0.6993513964872664,0.0356742774766818,precision
9,0.9814558272593068,0.004223715918879143,precision
10,0.8580880540477489,0.017380756579801603,precision
11,0.8844533792898848,0.015423860735639694,precision
12,0.7075246173605503,0.03340087136624815,precision
13,0.8523121322654139,0.018691076415193762,precision
14,0.7074115524014263,0.03393712681081524,precision
15,0.7104073967026202,0.032186000072414914,precision
16,0.9561794834610611,0.00748436630524585,precision
17,0.9820264768791462,0.0050954084392710345,precision
18,0.8699524619198327,0.017038863172792122,precision
19,0.8580880540477489,0.017380756579801603,precision
20,0.9689512824890345,0.005021951947607474,precision
21,0.6993513964872664,0.0356742774766818,precision
22,0.8751130119558518,0.016550958045759654,precision
23,0.8425950656465769,0.01821031571529413,precision
24,0.9332422652302176,0.009218754040628926,precision
25,0.7121667422394753,0.032032837407481675,precision
26,0.9820101623453613,0.004501897035694589,precision
27,0.8579002865019973,0.017566709820731937,precision
28,0.8841931340224136,0.015030860463502547,precision
29,0.8579002865019973,0.017566709820731937,precision
30,0.9380983273107178,0.008322552073075987,precision
31,0.7101668882061802,0.03187075614093701,precision
32,0.968513857282379,0.005053845428750411,precision
33,0.8817376632553986,0.015624319466196983,precision
34,0.8425950656465769,0.01821031571529413,precision
35,0.7047602083303893,0.03555377818279198,precision
36,0.9247753417903214,0.009669161752650781,precision
37,0.7137425868251245,0.031326319187697405,precision
38,0.7047602083303893,0.03555377818279198,precision
39,0.8579002865019973,0.017566709820731937,precision
40,0.701098015591757,0.0340298124767427,precision
41,0.964736811140534,0.0063870946172357055,precision
42,0.7125255092167478,0.031934548737541264,precision
43,0.8425950656465769,0.01821031571529413,precision
44,0.9372190068487182,0.008713382149619723,precision
45,0.9775433769605397,0.004916632827078251,precision
46,0.9372190068487182,0.008713382149619723,precision
47,0.7101668882061802,0.03187075614093701,precision
48,0.8868104928798349,0.015265418680565634,precision
49,0.8523121322654139,0.018691076415193762,precision
0,0.8746351313708531,0.02232661691189413,recall
1,0.9854516055575868,0.005389463949851063,recall
2,0.8775373121675294,0.023964448823478826,recall
3,0.8746519612613707,0.023598445411031493,recall
4,0.958432158905844,0.008413207608905598,recall
5,0.999011337565493,0.000446365469939333,recall
6,0.879365267278731,0.02385789760031235,recall
7,0.9640664632048269,0.010184158899594295,recall
8,0.8720119702180767,0.02261419637877016,recall
9,0.9985888734206118,0.00038661777989635514,recall
10,0.9563934658799912,0.012426038695061188,recall
11,0.970890090812067,0.008405521191412166,recall
12,0.87757452554322,0.024186251820950685,recall
13,0.9522361366880375,0.01197569780518138,recall
14,0.8775614350165322,0.0229515708923273,recall
15,0.8775373121675294,0.023964448823478826,recall
16,0.9858314271353243,0.0025920526810339225,recall
17,0.9971945949944974,0.0006474143466020697,recall
18,0.9602124133209025,0.009781369511194305,recall
19,0.9563934658799912,0.012426038695061188,recall
20,0.996211431536902,0.0015641763787926646,recall
21,0.8720119702180767,0.02261419637877016,recall
22,0.9652921769870713,0.010078335770513135,recall
23,0.9464663289518086,0.012572572180027755,recall
24,0.9820111791868362,0.0054380456390994425,recall
25,0.8804866627819654,0.023092283590420593,recall
26,0.998966612920765,0.000302873503372987,recall
27,0.9557208736089804,0.012483283944899061,recall
28,0.9696527467796454,0.00880501165283979,recall
29,0.9557208736089804,0.012483283944899061,recall
30,0.9862739944730455,0.00528981677684125,recall
31,0.8782356877070384,0.023665081473428138,recall
32,0.9957333615841761,0.0016593989598098825,recall
33,0.9668134627000073,0.0077015244376507684,recall
34,0.9464663289518086,0.012572572180027755,recall
35,0.875465769586502,0.024134380611811054,recall
36,0.9759372232589125,0.0056760181374508065,recall
37,0.8803376220971824,0.02360879239143855,recall
38,0.875465769586502,0.024134380611811054,recall
39,0.9557208736089804,0.012483283944899061,recall
40,0.8740794151168654,0.023530721015106944,recall
41,0.9924299519353521,0.0020253052691035825,recall
42,0.8804816582218555,0.02334073421793613,recall
43,0.9464663289518086,0.012572572180027755,recall
44,0.9854516055575868,0.005389463949851063,recall
45,0.9964304179312051,0.000742175874581271,recall
46,0.9854516055575868,0.005389463949851063,recall
47,0.8782356877070384,0.023665081473428138,recall
48,0.9724810554554614,0.00801721029246,recall
49,0.9522361366880375,0.01197569780518138,recall
0,0.8579014224166098,0.01369466540384092,auc
1,0.9785397170431539,0.004362186951717092,auc
2,0.8619847626518415,0.014954834638478064,auc
3,0.8584485400596744,0.014417756449626227,auc
4,0.9479177667624352,0.007706703734242714,auc
5,0.9963504893098205,0.0007147635347677808,auc
6,0.8634063857799044,0.014954968950527892,auc
7,0.9523884556859358,0.008886160626103484,auc
8,0.8555363951452495,0.014300987937553966,auc
9,0.9952472330834684,0.0009677531134580633,auc
