,mean,std
Angle20,0.01465802922875536,0.01948333727697767
Coherency20,0.014482106257864039,0.0043090705346579645
Energy20,0.062284723170395094,0.012303853626521064
MeanInt20,0.007196753986570656,0.0016857485456351698
VarInt20,0.013132044555836924,0.006090620641882793
Density20,0.003506413959643117,0.0010976504308702546
VarDensity20,0.003148093420109702,0.0009090139907463551
OrientationRef20,0.014383092888650069,0.018605598406876027
Angle60,0.017864602988833526,0.017810063509608245
Coherency60,0.016132082426326477,0.005009054981270081
Energy60,0.065944596872519,0.021488477168059444
MeanInt60,0.013541767611259864,0.0048344930455530045
VarInt60,0.021128375115274555,0.012372510941697919
Density60,0.024327831040828588,0.022274665173800657
VarDensity60,0.004282412818348018,0.0010035434611286994
OrientationRef60,0.014863212609708427,0.0024826705212849355
Angle100,0.0171887083420166,0.003440856708822478
Coherency100,0.03406400835705911,0.016275434296499927
Energy100,0.0504515801766573,0.01586418935828824
MeanInt100,0.01852003529130505,0.006910576970416538
VarInt100,0.027780300927924106,0.008955789407342285
Density100,0.07875740094918246,0.06687067207266027
VarDensity100,0.015933603313788642,0.014337074931503449
OrientationRef100,0.02081275586405138,0.006462955766007425
Angle140,0.018730636250608623,0.003219285302694707
Coherency140,0.03896964129499579,0.019584287522242377
Energy140,0.061454523295683086,0.02613485532676579
MeanInt140,0.020461570839401987,0.006160051313701157
VarInt140,0.046202663546358276,0.0286007944970762
Density140,0.10460166796018723,0.06609884997345634
VarDensity140,0.013481871651926087,0.00885981596094306
OrientationRef140,0.023035369297267367,0.006276905442900592
Dist,0.09867752369066347,0.015802557497834328
