,mean,std
Angle20,-0.008398808981253569,0.0002858180741477487
Coherency20,0.004593929450369172,0.00030466570325185657
Energy20,0.03801689302099477,0.0004802154582991374
MeanInt20,-0.0067009996050192535,0.00017821849766577717
VarInt20,0.0019484702093398032,9.460869961007723e-05
Density20,-0.009966882386898768,0.0002869371079324254
VarDensity20,0.0016999361954243342,0.00012701638871735323
OrientationRef20,-0.0002512684957311606,0.00021878829338239073
Angle60,0.007654118433445789,0.00044497918821893964
Coherency60,-0.0020712180597332154,0.00011213845345565186
Energy60,0.006646309968705399,0.00039485740206697534
MeanInt60,-0.0302664600613739,0.0005115010754868384
VarInt60,0.0003017044936651558,0.0001260665647013099
Density60,-0.03907088384528906,0.0006491776748863309
VarDensity60,-0.006594354814207115,0.0002487975908155199
OrientationRef60,0.0006881779236168395,0.00023725023653405893
Angle100,-0.027677513444535562,0.0005656687124827571
Coherency100,0.0009227356971409639,0.00016354508903295697
Energy100,0.010435997933947106,0.00035171752144812397
MeanInt100,-0.026781514902925862,0.0003951610945765607
VarInt100,-0.005768541305866959,0.0002661021176141176
Density100,-0.046947710631057606,0.0006025848213282869
VarDensity100,-0.0008674383982013034,0.00022525460125938734
OrientationRef100,0.009782760611308616,0.0002950507114985302
Angle140,-0.006446996627472401,0.00013969270348222374
Coherency140,0.003103636860814918,0.0003299005095995946
Energy140,0.0055932306383496225,0.0002728616645131743
MeanInt140,0.022637559626895166,0.0003244288223057422
VarInt140,0.0017859204569623311,0.0001799840894924238
Density140,-0.03882599580712785,0.00048093109072885936
VarDensity140,0.0021602406343998125,0.00029608201649151776
OrientationRef140,-0.003310545984869151,0.00018522848667768612
Dist,0.013109409655759153,0.0005315972303309136
