,mean,std
Coherency20,0.02060467330040701,0.0072036728710460655
Energy20,0.07210264725330001,0.015796028766967486
MeanInt20,0.011133843668787977,0.006637789964550462
VarInt20,0.01849574474217754,0.0076447211011416855
Density20,0.0047413513621370855,0.0014009140755556384
VarDensity20,0.004744472495944679,0.0016397569334558847
OrientationRef20,0.017463821066797867,0.02231509969406827
Coherency60,0.026473448312467507,0.020691997243824832
Energy60,0.08070151248675783,0.02758951611717343
MeanInt60,0.014122977865818844,0.0037752361642878944
VarInt60,0.021379943480158224,0.015937815131634378
Density60,0.025586722716384794,0.018510137618768418
VarDensity60,0.005480393238851285,0.0015629511165484039
OrientationRef60,0.023475599939739522,0.01992555377244375
Coherency100,0.05193896385546247,0.032723491972698325
Energy100,0.062277021871998316,0.01941480008992864
MeanInt100,0.02195624241288332,0.00549872947015598
VarInt100,0.03191565361922262,0.018012493651784884
Density100,0.11374499062514053,0.058198769975124146
VarDensity100,0.010844914453091952,0.008808212733498678
OrientationRef100,0.024010583793500597,0.005838755868554213
Coherency140,0.039885173895564244,0.010236428517715607
Energy140,0.0669431057835556,0.0224161144586062
MeanInt140,0.034217792552580825,0.02536493502501827
VarInt140,0.05230852497131398,0.02427333794741534
Density140,0.09295622603754587,0.04517127047353346
VarDensity140,0.020722056236797057,0.014612177759866195
OrientationRef140,0.029771597961612415,0.008290242999754952
