,mean,std
Coherency20,0.010354267310789067,9.063599221946142e-05
Energy20,-0.005348342600188349,0.00034701752595048507
MeanInt20,0.0074472093093914445,0.00012196055334110528
VarInt20,-0.019349800990490097,0.0005076151125646377
Density20,-0.007657460577887154,0.0002188009509330067
VarDensity20,-0.005217391304347807,0.00010885305382971756
OrientationRef20,-0.017594567496126146,0.00044913924840807925
Coherency60,-0.004984048856075118,0.00018957320968161995
Energy60,0.005093124297390106,0.00027258952273793194
MeanInt60,-0.0075678303405948945,0.00025050444930163764
VarInt60,-0.005425515753653576,0.0002679924800879862
Density60,-0.042240755932306376,0.0007869231589494215
VarDensity60,0.00020083249779724311,0.0001457849001723258
OrientationRef60,-0.0018758545255673996,0.00016390678547433798
Coherency100,0.016783641722115883,0.00033100326441509975
Energy100,-0.006202716251936913,0.0004073249427008467
MeanInt100,0.0061984626135569544,0.00019440194908251245
VarInt100,0.00459544860693345,0.00024180563493758503
Density100,-0.038198584146082085,0.0008732156861161909
VarDensity100,0.010113329079694955,0.0001624983484854818
OrientationRef100,-0.0070762312763953394,0.0002184925311180547
Coherency140,0.014341749460699427,0.00015023559802718853
Energy140,0.004931182207638329,0.0002562542904654123
MeanInt140,0.0034864643150123165,0.00022488135734022402
VarInt140,-0.0017622216145596003,0.00017102221721203281
Density140,-0.051906845319478624,0.0006752557112372675
VarDensity140,0.015498739100051673,0.00038938907734989447
OrientationRef140,0.0036034393704615143,0.0002059967338562451
