,mean,std
Angle20,0.014281657101244145,0.002322023928562052
Coherency20,0.019893269580627912,0.0052003911671890625
Energy20,0.07421461328215298,0.015909964001638105
MeanInt20,0.009844129810437271,0.0023093314725278827
VarInt20,0.013133750499524468,0.004047066842964626
Density20,0.006518821169079562,0.004129965418518715
VarDensity20,0.004851163318444133,0.0010510022124677794
OrientationRef20,0.013498695046387033,0.0016944005217173104
Angle60,0.020351702132464105,0.0018569216023062443
Coherency60,0.029464636797487613,0.010730344848024913
Energy60,0.07051953986028454,0.013725133745932698
MeanInt60,0.015834453000991927,0.006125853258349033
VarInt60,0.0247756989499307,0.017610583495191755
Density60,0.013403135406412659,0.013387729376005053
VarDensity60,0.017969134616323032,0.01959262844418886
OrientationRef60,0.02150506962578993,0.001823544008338244
Angle100,0.02544707104946337,0.004088541855814295
Coherency100,0.04032274916472658,0.008961994669993633
Energy100,0.056111414100511556,0.008322841375101584
MeanInt100,0.028858883873680057,0.014127646895280706
VarInt100,0.030397601164491275,0.009468439362051924
Density100,0.025305487467722602,0.01978416952247307
VarDensity100,0.013500742207997124,0.013131524051134632
OrientationRef100,0.02665566159694972,0.004719267609794052
Angle140,0.031302382503968364,0.005062053438759733
Coherency140,0.05592840784318543,0.010534407575561365
Energy140,0.06002081631874298,0.010197450636083502
MeanInt140,0.047021867515933735,0.0248152876956637
VarInt140,0.030312656744404975,0.0052540062212669296
Density140,0.03448235099344769,0.022637196928328378
VarDensity140,0.0181688754278579,0.012619521070794039
OrientationRef140,0.03147508817468657,0.003919663117656347
Dist,0.07462847365464806,0.006847577306276159
