,mean,std
Angle20,0.002654689776013852,0.00026708566634041684
Coherency20,0.007464797652473121,0.000369313242227541
Energy20,0.05152103696510376,0.0004989044437541945
MeanInt20,0.0010745424222592837,0.00019992992151908449
VarInt20,0.0030357406742806516,0.0003068054159212321
Density20,0.0008697671472904344,0.0002470601252013332
VarDensity20,0.0005488821803289023,0.00012910456080069614
OrientationRef20,0.00265996748928623,0.0003283738740995177
Angle60,0.005934260803479063,0.0003051157373922842
Coherency60,0.0098777681606114,0.0006744545881929128
Energy60,0.058680782790432554,0.0006093517102816958
MeanInt60,0.0028014102049863767,0.0005752310414226256
VarInt60,0.005206991914543269,0.0002356509318763974
Density60,0.0022968608161455517,0.00035483193213701195
VarDensity60,0.002663134117249677,0.00033915786216725884
OrientationRef60,0.00605353712343516,0.0002849671945715247
Angle100,0.009696214824041028,0.0003793849963349
Coherency100,0.014630876733728804,0.00025874578041337374
Energy100,0.030428128100656558,0.0007492278641446627
MeanInt100,0.007900736768772832,0.0005765476014937751
VarInt100,0.008769448373408761,0.00047093766288745255
Density100,0.00870189364352213,0.0005532533960492436
VarDensity100,0.0024646920982077103,0.0003334662896527588
OrientationRef100,0.009679326141569366,0.00026690831513723206
Angle140,0.014924317591673874,0.0005610176936461111
Coherency140,0.030344740230952738,0.0007226236069891794
Energy140,0.03493529523528044,0.0006836470358999082
MeanInt140,0.021487681817222215,0.0006002697624488186
VarInt140,0.01077920158753617,0.0003397732616475749
Density140,0.008313453946673977,0.0005054319163012652
VarDensity140,0.0056957081635668596,0.000488733347147648
OrientationRef140,0.014531655724207814,0.00032120598301798296
Dist,0.057418353775676056,0.0007083477712335112
