,mean,std
Coherency20,0.008226899449006685,0.0003286519817672854
Energy20,0.059060778146044844,0.0010239204455221374
MeanInt20,0.001775422744833055,0.00041706091862026365
VarInt20,0.002706411366083261,0.00039433242716080153
Density20,0.0021469737592095584,0.0002212211926018947
VarDensity20,0.0007409909434439755,0.00020004134655226112
OrientationRef20,0.0018746437543540662,0.00035050374242597156
Coherency60,0.014105216491798378,0.00046599667890276754
Energy60,0.05829023200827542,0.0009609270982784165
MeanInt60,0.004197893136861597,0.0001930258243066686
VarInt60,0.004920939855179507,0.0004946160700866959
Density60,0.002199750891933494,0.00030056843519264887
VarDensity60,0.0011220418417107858,0.0001980401690799451
OrientationRef60,0.005888872469336437,0.00041897066230672667
Coherency100,0.01458654394224066,0.000664060499544657
Energy100,0.03399164010217649,0.0007144402073720987
MeanInt100,0.00996960037155097,0.0007158610595141613
VarInt100,0.006869471595347121,0.0003141121848664053
Density100,0.00898583461757686,0.0007341760141073079
VarDensity100,0.002832020941966218,0.0004575031648728016
OrientationRef100,0.008807447908969968,0.00036693431998137817
Coherency140,0.03903607844793004,0.0009656663573806351
Energy140,0.038660305262935624,0.00042746740826723675
MeanInt140,0.020388861913909907,0.0006140174274780109
VarInt140,0.019359707825793195,0.0003737112954689454
Density140,0.010846756317422768,0.0004705921212681344
VarDensity140,0.009322552724355537,0.0004774694431777344
OrientationRef140,0.014582321771622742,0.0004470880470897383
