,mean,std
Angle20,0.008804723247501221,0.001395433135693594
Coherency20,0.013310625133039022,0.004522816194752731
Energy20,0.04001100133459211,0.00757352617382422
MeanInt20,0.015954157063083365,0.033481681668203256
VarInt20,0.009716412659608788,0.0024833739459006196
Density20,0.0036287264434838908,0.0008652995620678351
VarDensity20,0.0034367132023241397,0.0014227166480651546
OrientationRef20,0.00826771114788408,0.0009996394927897741
Angle60,0.013342735608652298,0.0017860723990930699
Coherency60,0.01590172917756473,0.005446803076240341
Energy60,0.050367543230304325,0.009685641264440154
MeanInt60,0.011929795127493373,0.012279069148342514
VarInt60,0.020147060728433187,0.033095112693182376
Density60,0.02737918516394825,0.016562334066987684
VarDensity60,0.0052170751986332685,0.005273167824491285
OrientationRef60,0.013021257685275716,0.0012748844648377475
Angle100,0.01625107738692929,0.0022852547821324673
Coherency100,0.026669912234464292,0.009850603936214999
Energy100,0.04143615408065047,0.037875191132683575
MeanInt100,0.04277703110013177,0.061508922354195264
VarInt100,0.0165568437582143,0.005802853483215188
Density100,0.054466842283664316,0.05512594379313315
VarDensity100,0.010304935989980172,0.011501628444840371
OrientationRef100,0.024126789462806372,0.034871661767183246
Angle140,0.01771889461721552,0.002172844376817803
Coherency140,0.031672156281911674,0.00622401099488648
Energy140,0.04150606384291716,0.012991301529011446
MeanInt140,0.04511485402829147,0.06015711215868422
VarInt140,0.03662875851001938,0.048461433981622226
Density140,0.08010220139776879,0.07480674108504602
VarDensity140,0.009909073740879504,0.004335033919856787
OrientationRef140,0.02767416274651807,0.03230694087888375
Dist,0.2166477963858157,0.048832663886505145
