,mean,std
Angle20,-0.00030535046941936316,0.0001236802449656384
Coherency20,0.0012894600917570886,0.00010361672368749919
Energy20,0.01781332604138185,0.0002541288764290291
MeanInt20,-0.004094126940722498,0.0001050153717123502
VarInt20,-0.0005134749187250987,0.0002243295861476147
Density20,-0.0006401725761856824,0.0002079593834853625
VarDensity20,0.010485218606629609,0.00026406769293901323
OrientationRef20,-0.0028417342691337555,0.00017075779307617204
Angle60,-0.0003351259380791616,0.00019188601207476127
Coherency60,0.0017336614711512266,0.0001365903395856565
Energy60,0.019241029380487974,0.00024234923309359965
MeanInt60,-0.0026472822289065113,0.00010457315896223783
VarInt60,-0.0013359462826238676,0.0001900928081418769
Density60,0.009510831586303314,0.0002920704034903937
VarDensity60,-0.006513535684987681,0.0003400055662170068
OrientationRef60,-0.00023486160483696673,0.00015673131721098576
Angle100,-0.00018290645033876008,0.00021907396483498035
Coherency100,0.0014833044693586483,0.00018149591784141577
Energy100,0.01542673107890502,0.0002944286896112232
MeanInt100,-0.003893902105550995,0.00016684848894506042
VarInt100,-0.002024124206240674,0.0001354746994450128
Density100,0.015485066690973192,0.00030967908750829324
VarDensity100,0.003548749734147627,0.00019206849702949616
OrientationRef100,0.0010521678364172505,7.590980768707404e-05
Angle140,0.001497584541062813,0.00017112177666597507
Coherency140,0.0034661076170510287,0.00021760686250623667
Energy140,0.0026773615288791853,0.00025344631264761033
MeanInt140,2.9775468659820613e-05,0.0001985151119388428
VarInt140,0.022102208853644466,0.00035743077739941616
Density140,0.03237899917965546,0.0003835705169368137
VarDensity140,0.005811685352292417,0.00032938117066126996
OrientationRef140,-0.0001315589584662602,0.0001245415632773481
Dist,0.060299577674475136,0.0006608749420565559
