,mean,std
Coherency20,0.02893019252909383,0.041654225717064904
Energy20,0.05716315263627457,0.011307640499144164
MeanInt20,0.03025149837987615,0.055889739115074964
VarInt20,0.014716090311185743,0.003895604717864945
Density20,0.007368053153038254,0.006645838968292397
VarDensity20,0.00490815784508869,0.0007698727193522837
OrientationRef20,0.01118506398374338,0.0014811613791659896
Coherency60,0.02107735783702164,0.007606113192144991
Energy60,0.06075891237437186,0.010219156961969211
MeanInt60,0.03390252188066149,0.060538963128814384
VarInt60,0.01614079597252275,0.0030909977516253386
Density60,0.03987161118210668,0.056883280230451264
VarDensity60,0.008748972279600887,0.00842167498539948
OrientationRef60,0.017709115052645278,0.0040496925807686
Coherency100,0.034344119784768756,0.011985528808721417
Energy100,0.05288720491259286,0.03858838640083321
MeanInt100,0.03864570064240409,0.05837352121526219
VarInt100,0.021947510261009745,0.004522264026450244
Density100,0.11116894448487766,0.0946458503413062
VarDensity100,0.01016774419461552,0.008082191824594574
OrientationRef100,0.020761667841233126,0.0021535718869746395
Coherency140,0.04214026033947568,0.012316872841736461
Energy140,0.06768107642216543,0.055191123248375114
MeanInt140,0.0343584316077142,0.009725425288093751
VarInt140,0.030046895687905993,0.0053782075595522096
Density140,0.1309274964629506,0.08866801501297103
VarDensity140,0.01688359354994156,0.012055133008088914
OrientationRef140,0.03530785839111376,0.04054368622351373
