,mean,std
Coherency20,-0.005293652963874418,0.0003204752140076467
Energy20,0.020860146446692818,0.0003455246047535157
MeanInt20,-0.009166590708838417,0.0003282812624280787
VarInt20,-0.0010661440768085285,0.0002630008842734848
Density20,0.004920548111688417,0.00022877206639346874
VarDensity20,-0.0024242700452708488,0.00018236182181269867
OrientationRef20,-0.0022249567040378837,0.0002627747426667193
Coherency60,0.005619056299942304,0.00016915083539242068
Energy60,0.0328924740983806,0.0003620400939247565
MeanInt60,-0.007067723999635378,0.00022929825298813005
VarInt60,-0.005150852246832505,0.0003074137837088185
Density60,-0.0034983137362135986,0.00027410299799211936
VarDensity60,0.002082155986996059,0.00012008103850115711
OrientationRef60,-0.00648376021632785,0.0002637143781659565
Coherency100,-0.0009683103940691607,0.00018313771054719738
Energy100,0.007790538692917748,0.0003412242079107406
MeanInt100,-0.010118190380700587,0.00036721329503641866
VarInt100,0.003502567374593657,0.00038915513499074273
Density100,0.012463160453316358,0.0003529520888216147
VarDensity100,0.0058791359037462685,0.00022672412924350403
OrientationRef100,0.0017281925075198657,0.0001905136204368123
Coherency140,0.002107373985963035,0.00022753375053481245
Energy140,0.010919697384012429,0.00032350545152315955
MeanInt140,0.00026676389268680544,0.00041633937284874396
VarInt140,0.012133807310181422,0.00014318935086643595
Density140,0.09585574089265644,0.0005430239960799642
VarDensity140,-0.0008482970254914179,0.00022288796730629714
OrientationRef140,0.0012815604776228672,0.00024314403359272047
