,mean,std
Angle20,0.014149627329758666,0.0019067808359817737
Coherency20,0.018078659497551667,0.004677155551644909
Energy20,0.06799382046011908,0.024915520047780644
MeanInt20,0.010636281377370181,0.0034387619503891717
VarInt20,0.01571590569889837,0.0051887948288754865
Density20,0.0045207306787738025,0.0006245664588715857
VarDensity20,0.005380679713276336,0.002366007155856597
OrientationRef20,0.012992820559142273,0.0014305134330591914
Angle60,0.020380995887976174,0.002902753838147379
Coherency60,0.027864651669941645,0.00950254637370038
Energy60,0.07211121745225844,0.017352995167648145
MeanInt60,0.014302296674595791,0.002984232096503801
VarInt60,0.02663668467601072,0.015748241608227662
Density60,0.014980955838154649,0.009167085611227201
VarDensity60,0.009688236123460496,0.011065148391678627
OrientationRef60,0.020936535626954335,0.003718943032666158
Angle100,0.023764714047039313,0.0035732707111577403
Coherency100,0.04412649287382288,0.01465998816640594
Energy100,0.06096918772087927,0.01065845736360087
MeanInt100,0.029267762186145598,0.019286806222472242
VarInt100,0.026036496029606334,0.004488120169926211
Density100,0.030798923545615486,0.02265889351641235
VarDensity100,0.015145608545662652,0.013112347115790951
OrientationRef100,0.024843635212330937,0.003945426122587307
Angle140,0.0294641014225645,0.002902270393448137
Coherency140,0.05505178446793927,0.012680925095168135
Energy140,0.058584868320230056,0.01029063414519312
MeanInt140,0.04660841836336355,0.029617861302541435
VarInt140,0.03612910937861067,0.014345502221870367
Density140,0.026420650873420496,0.009198697709993093
VarDensity140,0.01979124608349504,0.014317421848202797
OrientationRef140,0.02960064668144779,0.0034591007349269423
Dist,0.08702625498358349,0.012138739084762143
