,mean,std
Angle20,0.002157529185754392,0.00022096922642452106
Coherency20,0.0054560999810002175,0.00034367437909681316
Energy20,0.031542781143786,0.00043949252164851853
MeanInt20,0.001134708353564573,0.00014413086122747935
VarInt20,0.0027707994680064908,0.00046566661223118594
Density20,0.00044016128691758415,0.00015091307103348475
VarDensity20,0.00015094259959045342,0.0001561382728038704
OrientationRef20,0.0021058075956849275,0.0002945039671163535
Angle60,0.006618252443581241,0.00024387375908394083
Coherency60,0.009757436298000799,0.00032827885654513017
Energy60,0.04059617049124955,0.0009363799739885356
MeanInt60,0.0019337541430049065,0.0003383273554867592
VarInt60,0.005333657033080708,0.00034679194895260865
Density60,0.004037450653380903,0.0004070961318814314
VarDensity60,0.0012962063796997936,0.0003232029551500943
OrientationRef60,0.006354366779961573,0.00030588890370475343
Angle100,0.009163165783529303,0.0004770644108251445
Coherency100,0.019313263948996174,0.0003446973084813614
Energy100,0.0287582596212713,0.0006552573814128559
MeanInt100,0.005653486457387735,0.00028461313595564065
VarInt100,0.0061010365428866955,0.00028733259280996226
Density100,0.007964069328041534,0.0005224296377681161
VarDensity100,0.004095505499377217,0.0004461338157711438
OrientationRef100,0.009434440245730336,0.0004846492804080901
Angle140,0.014529544638898861,0.00040938864992710633
Coherency140,0.027535941227384998,0.00034833067528132597
Energy140,0.030448183411091633,0.00040147270345217406
MeanInt140,0.01841077497941692,0.0005951950356410911
VarInt140,0.0147997635584454,0.0003381511248673582
Density140,0.007173467879837037,0.00043280338116496715
VarDensity140,0.005065549198843111,0.0003849895585985819
OrientationRef140,0.011214085161181364,0.0004345503864336399
Dist,0.06415904916717682,0.0009510673618662329
