,mean,std
Coherency20,0.027097617169006532,0.0035486131960192594
Energy20,0.08615982471451385,0.031190412449901433
MeanInt20,0.013637899611521653,0.003199571322371878
VarInt20,0.017865671695419853,0.00432590763269403
Density20,0.00973120249192438,0.010002941142421437
VarDensity20,0.009302850755295054,0.010414645667332457
OrientationRef20,0.016353409136528246,0.0026204911159980527
Coherency60,0.03323672406842236,0.01228639607578743
Energy60,0.08321786214021036,0.01940468429493377
MeanInt60,0.01886771630486,0.007066337010945948
VarInt60,0.029001131600880373,0.016637482622639987
Density60,0.014049706872326704,0.008280680973461687
VarDensity60,0.008274249926677243,0.0016663013157592209
OrientationRef60,0.025580002141985875,0.003092281049230182
Coherency100,0.05171688566069446,0.021192654528215702
Energy100,0.06452166224292141,0.01256086551720985
MeanInt100,0.04114276181992833,0.014921468563353949
VarInt100,0.038960540859780284,0.01730741106987849
Density100,0.029969665092733442,0.025537862189371218
VarDensity100,0.020963622808951733,0.015749901541616946
OrientationRef100,0.030653393265550156,0.0037883023364168465
Coherency140,0.0631358458225424,0.017923911068784572
Energy140,0.07369733700004329,0.016615976256887544
MeanInt140,0.05396013776048557,0.027044900808432137
VarInt140,0.04031293794076229,0.009592410921719483
Density140,0.0391325143805917,0.015819777502171714
VarDensity140,0.02394378684063116,0.014568004688952231
OrientationRef140,0.035513039874811345,0.005513537511542307
