,mean,std
Coherency20,0.008524562477569674,0.0004359582843284213
Energy20,0.045776773839430816,0.0007349003009405861
MeanInt20,0.0005932149718169577,0.0001472321203670203
VarInt20,0.002263083451202219,0.0004400283747895757
Density20,0.0016170913466612591,0.00025612085099299486
VarDensity20,0.001063986995714461,0.00018146739996911058
OrientationRef20,0.002077307944013973,0.00019581952121099807
Coherency60,0.00827439886845822,0.00027611874102561153
Energy60,0.0474645865439422,0.0008143708251272403
MeanInt60,0.002650467605395901,0.0002712744622010166
VarInt60,0.00359623382380877,0.0003235905414783163
Density60,0.002994574510755943,0.000392884546525218
VarDensity60,0.0007906014482044865,0.00014728130051574478
OrientationRef60,0.006736473220882821,0.0004277436022120512
Coherency100,0.013944774008317617,0.0004888985981847261
Energy100,0.026250290274229936,0.0005966468276296856
MeanInt100,0.005821317739449816,0.00041640455355980937
VarInt100,0.008541451160041336,0.0006191781181325642
Density100,0.007536574552977659,0.0003689872763399768
VarDensity100,0.003308070679136099,0.00039220760786526094
OrientationRef100,0.008772615001372164,0.0004859040163787165
Coherency140,0.034313580611792495,0.0005883417125286193
Energy140,0.03834364246659204,0.0007776162031578566
MeanInt140,0.016186746606430335,0.0003853309024976551
VarInt140,0.01852160695813714,0.0005176476313282408
Density140,0.013172116785239241,0.0003569373321907054
VarDensity140,0.00431928054212668,0.0003601179885900735
OrientationRef140,0.012139796069159114,0.0005261739850463777
