,mean,std
Angle20,0.00886253449230751,0.0011896928114409375
Coherency20,0.012706502409433907,0.004219173801727814
Energy20,0.03630016042138341,0.005945388840691822
MeanInt20,0.01603894290326995,0.035702903173256514
VarInt20,0.009839909581802187,0.00351597618460956
Density20,0.003795630177957874,0.0009297242490575315
VarDensity20,0.0033742536402238525,0.0006593501899140207
OrientationRef20,0.015132775609264978,0.03185683196680984
Angle60,0.012743454639326935,0.002106178857306681
Coherency60,0.020444418301029475,0.007125393853399705
Energy60,0.041937675991414416,0.009127925329824479
MeanInt60,0.011357554353296762,0.01014889471708098
VarInt60,0.012293506050531056,0.0026911350584663245
Density60,0.02174757786647726,0.01665176061049636
VarDensity60,0.006970037817106259,0.007215928465181788
OrientationRef60,0.011858747559581882,0.0020216938062276053
Angle100,0.01601653939346345,0.0019705287588160686
Coherency100,0.025184835442781394,0.010399232414080415
Energy100,0.044384188514859306,0.03408280269084572
MeanInt100,0.038385677893511896,0.058386755623180533
VarInt100,0.01525258583911703,0.0036509301143507794
Density100,0.049664970327977745,0.04960833031602062
VarDensity100,0.006659116664222649,0.00282625336579424
OrientationRef100,0.022820921366806413,0.03313406179082902
Angle140,0.017291184391757215,0.0015772626904504712
Coherency140,0.029911796411178266,0.007575932738843513
Energy140,0.03935314483527431,0.00890058843937463
MeanInt140,0.050804762517433454,0.06182466785827699
VarInt140,0.0359876060529287,0.047073289999346006
Density140,0.07370172214155898,0.06356676734195273
VarDensity140,0.012410622126737849,0.008539756472864085
OrientationRef140,0.025516608015644933,0.033456047557117626
Dist,0.25125003625033865,0.042422094533514414
