,mean,std
Angle20,-0.002170570899036839,0.0001482510013421704
Coherency20,-0.0012876371038799128,0.00015258746118196163
Energy20,0.009311214413757495,0.0002734623599966093
MeanInt20,-0.015790417160392534,0.0004541387885328916
VarInt20,-0.004054932701364189,0.0003039686135855596
Density20,-0.004797496429982085,0.000209061555361509
VarDensity20,0.007248199799471333,0.0002809090966210579
OrientationRef20,-0.007058305228936889,0.00027455812032356236
Angle60,-0.0007851001124175805,9.330342523705969e-05
Coherency60,-0.002211284294959426,0.00016661373425835428
Energy60,0.012286026797921823,0.0001637932599268498
MeanInt60,-0.012174216874791099,0.0002148259273911983
VarInt60,-0.014430164372740228,0.0005116201755210794
Density60,0.006697049797952182,0.0003895842576888963
VarDensity60,-0.006327590921520343,0.00021987061076977725
OrientationRef60,0.0014510983501959673,0.00012553198004750836
Angle100,-0.003917904779266535,0.00019868918555028759
Coherency100,-0.000798468690183185,0.0002850734431607195
Energy100,-0.0082499316379546,0.0004843819210854802
MeanInt100,-0.017549296630510712,0.0004583101742209551
VarInt100,-0.008532494758909815,0.00023541359114309486
Density100,0.006666059004040969,0.0003489063123085044
VarDensity100,-0.0001315589584662602,0.00012522900635068127
OrientationRef100,-0.0004381247531370369,0.00022811156401941594
Angle140,-0.003972594415580466,0.0001692983954425449
Coherency140,-0.003295354419226426,0.0003191796747960893
Energy140,0.006321210463950411,0.00021276111741634128
MeanInt140,-0.012277823352474704,0.0004535764964070521
VarInt140,-0.00041169142891864794,0.00026386573176545277
Density140,0.025905873059277516,0.0003916200585297203
VarDensity140,-0.010139458572600468,0.0004122998751910717
OrientationRef140,0.015253547230577601,0.00020908893036226522
Dist,0.062088536444566,0.00046202104368459876
