,mean,std
Coherency20,0.028434978008358383,0.04077562574356669
Energy20,0.056365203700526806,0.011814394016128793
MeanInt20,0.040366654252182825,0.07157847983535727
VarInt20,0.015236919005229407,0.004146549008857175
Density20,0.006455455198982548,0.0050089309879119675
VarDensity20,0.0051398700006608155,0.0006772692867353447
OrientationRef20,0.0114959874212607,0.001405359326450164
Coherency60,0.024865549285806317,0.007133425397173902
Energy60,0.05679772055480661,0.011786373021670996
MeanInt60,0.03662163657760838,0.058818998608716276
VarInt60,0.017681250908274368,0.005470630031042572
Density60,0.036229384287623144,0.050371138520560015
VarDensity60,0.007763625979671637,0.0031676210787763555
OrientationRef60,0.016959970361692275,0.0029338452835773214
Coherency100,0.033178292358123744,0.007214568147719532
Energy100,0.06084158387492606,0.055493647113005376
MeanInt100,0.04659734759451161,0.06758577965839108
VarInt100,0.021093883173147972,0.007653368374088197
Density100,0.11355381465426377,0.09702956890228759
VarDensity100,0.014738408154731946,0.009336991530809854
OrientationRef100,0.022083810091210725,0.004484074697089141
Coherency140,0.03884186672195693,0.00865557938968274
Energy140,0.06014759014910139,0.042509516492671866
MeanInt140,0.031198187170172625,0.015275258364232033
VarInt140,0.03219660169553559,0.011685496616628502
Density140,0.12606892382330856,0.08749961742895329
VarDensity140,0.015034194856784497,0.008360897060065757
OrientationRef140,0.024011290139540488,0.00229162647171757
