,mean,std
Angle20,0.013932661847563622,0.0025703159511478203
Coherency20,0.018657042886754367,0.0029413319971355336
Energy20,0.08205731930892939,0.01345968030566106
MeanInt20,0.010949083718762626,0.0029523956938386354
VarInt20,0.01983142048372856,0.0074718391178372244
Density20,0.005623179422794998,0.001321991298262464
VarDensity20,0.005154661027354324,0.0013800726278308606
OrientationRef20,0.012759206881046571,0.0025450286611280915
Angle60,0.01876470835546403,0.0031628234380196157
Coherency60,0.027888059240193813,0.009301960980038241
Energy60,0.07046996698328307,0.0195396546201895
MeanInt60,0.01584793376588763,0.0055722825447200985
VarInt60,0.024276045249102065,0.013128209179142604
Density60,0.01163817686156302,0.008386527017740628
VarDensity60,0.011351363595837757,0.0125322056557866
OrientationRef60,0.02401400576423372,0.005958957741346993
Angle100,0.022678436328884076,0.003136031996228099
Coherency100,0.03865469987482366,0.01248636603225828
Energy100,0.07254140292190192,0.018505695267715505
MeanInt100,0.0222464420616619,0.0051287539846525685
VarInt100,0.029461641561389036,0.012722176737235207
Density100,0.024278118082707655,0.012948310489917283
VarDensity100,0.01577227804853586,0.012966935430631772
OrientationRef100,0.028472781680048832,0.005943591813926088
Angle140,0.028179637388954154,0.0058046453128013506
Coherency140,0.04850192141704081,0.012564823168828392
Energy140,0.0704546402481785,0.020288411693452548
MeanInt140,0.032985890246682255,0.010936599868849544
VarInt140,0.0495958403713968,0.013771249719843523
Density140,0.033530025834924995,0.019423384633977234
VarDensity140,0.023521290826146724,0.014197646411145567
OrientationRef140,0.03131088082899335,0.00961152965172827
Dist,0.05459923688523008,0.005923941966372822
