,mean,std
Angle20,0.0020889189132133335,0.00031825792588196486
Coherency20,0.003037851759589638,0.0003157396100481406
Energy20,0.037074880195908745,0.0008374811386834466
MeanInt20,0.0007230467183179212,0.00037017054688710625
VarInt20,0.0015273702210306772,0.0004691896004177324
Density20,0.0006006037703984001,0.00014848675353762084
VarDensity20,0.0003008296565264579,0.00027408562926383904
OrientationRef20,0.0011800966877071773,0.00032564132421618097
Angle60,0.00252908020013094,0.00034011412312939603
Coherency60,0.003063184783297146,0.0004497354986545633
Energy60,0.025760518482551932,0.0011243907706260054
MeanInt60,0.0013542612256961738,0.00032290117747704207
VarInt60,-0.0028636872216005636,0.0005645337770880768
Density60,-0.000834934239692564,0.0003355048595421421
VarDensity60,-0.000535160125820644,0.000397620269969903
OrientationRef60,0.004387890814667861,0.00043349403248082264
Angle100,0.005196436487998524,0.0004970036907969322
Coherency100,0.005077160168042438,0.00037160498706939176
Energy100,0.010785534843463073,0.0007378205402826189
MeanInt100,-0.003732398826236516,0.0004746703843951041
VarInt100,-0.0029227976102513932,0.0006218830573944603
Density100,-0.0014967594840507026,0.00038604010417923787
VarDensity100,-0.0015178703371402813,0.0006358678664063416
OrientationRef100,0.008496062825898853,0.0007971611592549311
Angle140,0.006325867128290708,0.0006398025325903564
Coherency140,0.010899533450146793,0.0004947602152414903
Energy140,0.021089742236483834,0.0005541950772395457
MeanInt140,-0.004425890350229012,0.0003283755705916786
VarInt140,0.006030315185036672,0.0006247180846200795
Density140,-0.004015284257636797,0.0006030318048839697
VarDensity140,-0.0031602947075090814,0.0006977480268475207
OrientationRef140,0.007306466254301392,0.0005418296929506622
Dist,0.017735227680550615,0.0005573784966203931
