,mean,std
Coherency20,0.025799029764091597,0.0029332670807034503
Energy20,0.09384292144500667,0.018420975320803563
MeanInt20,0.013392019673073555,0.0020419680000605877
VarInt20,0.01951173093142679,0.0058111987442794125
Density20,0.007811944617475466,0.003141832112759061
VarDensity20,0.006625960022106698,0.00264743798268917
OrientationRef20,0.016857121663649763,0.003558771361817511
Coherency60,0.02976204184347016,0.007328822644232563
Energy60,0.0852731239099274,0.029659002448591616
MeanInt60,0.017524054446330983,0.003859400546109638
VarInt60,0.03106490404648793,0.013418081067524054
Density60,0.013136276265477911,0.004707249940898275
VarDensity60,0.008102128327999423,0.0012719530724452938
OrientationRef60,0.02452180314093768,0.004164063963710463
Coherency100,0.04558091072809212,0.008723040441583932
Energy100,0.06685462429927341,0.01992149736873166
MeanInt100,0.03225901931649289,0.012119801604190317
VarInt100,0.043938299928861835,0.016974296271841854
Density100,0.027260233457559912,0.01734221131559205
VarDensity100,0.01946440855131509,0.01587142552623829
OrientationRef100,0.0297146060395185,0.00479509702671466
Coherency140,0.054679497797533595,0.01352440471840154
Energy140,0.0824344518691989,0.020003749704799467
MeanInt140,0.035511495179973415,0.009064640752257611
VarInt140,0.055236307985841275,0.015889905688610487
Density140,0.040420633047747005,0.02309895638165335
VarDensity140,0.03135648089245996,0.020707781474745765
OrientationRef140,0.04206397080867023,0.008880621385006868
