,mean,std
Coherency20,0.004113449724503349,0.0003937909799467163
Energy20,0.03060651480926343,0.0008754413950068162
MeanInt20,-0.0015389811902299043,0.00034413928244589266
VarInt20,-2.849965167094348e-05,0.0005259537195591804
Density20,-0.0007547129979522449,0.00021316996856701723
VarDensity20,0.00021533070151366073,0.00015904754756773106
OrientationRef20,0.0007483797420253513,0.00023993345951379096
Coherency60,0.00240980388017481,0.00045791698349053646
Energy60,0.03194177626717894,0.0007985017976134599
MeanInt60,-0.0009827102113196596,0.00033300488785188275
VarInt60,-0.008230066076970166,0.0005403935127301912
Density60,-0.0012107074246870187,0.0002852719974831887
VarDensity60,-0.0009436551331039378,0.00027655217547341716
OrientationRef60,0.0045831662057463805,0.00042405498346348967
Coherency100,0.004381557558740934,0.0002017964571726906
Energy100,0.005723152272583343,0.000723101419554151
MeanInt100,-0.004772108340898073,0.0004153919107084438
VarInt100,-0.008094956617196891,0.0006808937416796788
Density100,-0.0029829635415567156,0.00042169424448388384
VarDensity100,-0.0035381789778124893,0.0006245530912153965
OrientationRef100,0.0036226223901708043,0.0006179172303477226
Coherency140,0.01124469589816125,0.00048174971375923456
Energy140,0.01362811121197408,0.0009793644204540324
MeanInt140,-0.006980303574067426,0.00027529434731760104
VarInt140,0.0024910806645696447,0.0006048913332303542
Density140,-0.0025797462475458666,0.0005982645922860118
VarDensity140,-0.010027655217547327,0.0004551580217145535
OrientationRef140,0.011194029850746268,0.0004914171758105905
