,mean,std
Angle20,0.014743450281253402,0.01737142470304265
Coherency20,0.013024661059635892,0.0030183120145810417
Energy20,0.06404502684221178,0.013048528702341508
MeanInt20,0.007798558319113717,0.0027198220737729025
VarInt20,0.014740269286464025,0.005942269511826644
Density20,0.004288013131743596,0.0009095543682711767
VarDensity20,0.0037489336218565496,0.0011103273578150206
OrientationRef20,0.0087550905792928,0.0019463841023610864
Angle60,0.018997334984143452,0.01863948278785703
Coherency60,0.023724885321587938,0.018110473116588102
Energy60,0.05987612546755176,0.013263282888027594
MeanInt60,0.011633812116871213,0.005164599476213795
VarInt60,0.020677619089634874,0.01176403338216014
Density60,0.04199775482238345,0.03567523246747076
VarDensity60,0.005649425233754302,0.0041862117714323
OrientationRef60,0.014160172702138102,0.0032711050254955365
Angle100,0.016980255349978112,0.0038492677550403397
Coherency100,0.04398996784063901,0.027417121447929547
Energy100,0.0487037961841107,0.018799497953338584
MeanInt100,0.02108625853263994,0.01620703002114484
VarInt100,0.023145244801079535,0.008451328113638303
Density100,0.06607857303767936,0.04060849070921844
VarDensity100,0.009224981581756728,0.008873997114880097
OrientationRef100,0.01913879862424073,0.005997404141960372
Angle140,0.0192597296366304,0.003690402795589335
Coherency140,0.03509482511369922,0.020324850560815535
Energy140,0.052124112120067685,0.020930348025200232
MeanInt140,0.027272109166989647,0.0194724394630976
VarInt140,0.04392795849681163,0.031082421956170097
Density140,0.09044395088783184,0.045199223173823674
VarDensity140,0.018223310470636203,0.01347321996728531
OrientationRef140,0.02595347267965584,0.00648196468276098
Dist,0.11149152261591656,0.024287278036809364
