,mean,std
Angle20,-0.0036711937532281635,0.000212143238367468
Coherency20,0.003419317594871385,0.00010866971938149881
Energy20,0.011530094491538346,0.00024303637451241356
MeanInt20,-0.0033208762495062216,0.00012525812067665451
VarInt20,-0.0004982833530823183,0.00015883724513242415
Density20,0.0008379667608544139,0.00013608658431205712
VarDensity20,0.004863731656184545,0.00018275295616704767
OrientationRef20,-0.021770425060006638,0.0004588779315460008
Angle60,0.013140096618357544,0.0002908375152159892
Coherency60,0.000997478200103341,0.0002917984602981221
Energy60,0.010759274450824963,0.00028251672569854565
MeanInt60,-0.02288001701455348,0.00039661392912397045
VarInt60,0.0010819433050770822,0.0001768467897930041
Density60,-0.032635128976392244,0.0007263014927859061
VarDensity60,0.004268829945614239,0.00011107102090982607
OrientationRef60,-0.0017452070610396331,0.00013514312968147937
Angle100,0.0009555494789293406,0.00015785930051971655
Coherency100,-0.023286543311153596,0.0005054442786178592
Energy100,-0.005960562695591342,0.0002541773662832237
MeanInt100,-0.000756236137696309,0.00026603706405071905
VarInt100,0.003966821620636285,0.0002268714740355943
Density100,-0.04761644335065165,0.0006245060290037827
VarDensity100,0.0015747576945280394,0.00015507337096137166
OrientationRef100,0.0004113875976058612,0.00011916386489720084
Angle140,0.005416704645580817,0.00024433705390662565
Coherency140,0.006001579922826894,0.0002819222248211143
Energy140,-0.01087017288001697,0.0003917634691134127
MeanInt140,0.002958709324583031,0.0002846359457895236
VarInt140,-0.0067970102998814565,0.00026099604954467245
Density140,-0.036227630419591005,0.0006709255858182594
VarDensity140,-0.0012687995624828586,0.00024869739026296976
OrientationRef140,0.0038735454075897622,0.00015840920848164745
Dist,0.014519490778719724,0.0003430975330368598
