,mean,std
Coherency20,0.017457280078610575,0.0033678804228001926
Energy20,0.06683430704740422,0.015418630480444763
MeanInt20,0.009536291024485694,0.0025136295089474682
VarInt20,0.019405465842024346,0.006905475138139829
Density20,0.005077291461409039,0.0018017419893334894
VarDensity20,0.0044853228368785785,0.0022378931583653303
OrientationRef20,0.016724996515200055,0.023315971354345516
Coherency60,0.03333623236032001,0.027829748611930494
Energy60,0.07888304930575339,0.026669227848860777
MeanInt60,0.01925616545153939,0.02150536377363781
VarInt60,0.029240858573706008,0.0189707908597307
Density60,0.03801565712456776,0.03968659351540885
VarDensity60,0.009091689324651915,0.008445890342168345
OrientationRef60,0.018441265458614527,0.004841865356400265
Coherency100,0.03966163375076453,0.03155460856456939
Energy100,0.07035929551502562,0.03298576462008415
MeanInt100,0.024280102873599226,0.010169015523845401
VarInt100,0.028716849851607183,0.011483539824998201
Density100,0.07720757768011802,0.05539452098013388
VarDensity100,0.011196131734168597,0.010781319292006649
OrientationRef100,0.027396602482777647,0.02038035842781294
Coherency140,0.03882050233336276,0.009159464240092537
Energy140,0.07215176407816536,0.030774395970543874
MeanInt140,0.0269148795644054,0.008140276141562194
VarInt140,0.04570377700942149,0.0204465930357481
Density140,0.12197967430924754,0.06404714559014811
VarDensity140,0.01943918609724578,0.014199047143727295
OrientationRef140,0.030386150314925333,0.005671640192947887
