,mean,std
Coherency20,-0.005108923525658604,0.00020396678273042226
Energy20,-0.000781454136663362,0.0003211018342217884
MeanInt20,-0.0021736092121654505,0.00017979113644301138
VarInt20,0.0019530276790325595,0.00017705207640225575
Density20,-0.006491659830462149,0.00021645161089459583
VarDensity20,0.011905022331601456,0.0002104568687934326
OrientationRef20,-0.005883085710813385,0.00024000769886883952
Coherency60,-0.01688026007960385,0.0004369930896947364
Energy60,0.005320693950718514,0.0003139028911479308
MeanInt60,-0.004191049129523306,0.0001661221146643922
VarInt60,-0.027173761127821872,0.0006344621305327281
Density60,-0.048187646218819345,0.0008769100166901725
VarDensity60,-0.0048752772460730065,0.00015932584950074515
OrientationRef60,0.0026889071187676137,0.00018006203310047506
Coherency100,0.0318728162124388,0.0003045719105598386
Energy100,0.015701090754413127,0.0003767779022578896
MeanInt100,-0.002418193419013803,0.0003554838046205332
VarInt100,-0.006208489046881205,0.00022752157881054496
Density100,-0.042195485066690984,0.0008300466834512243
VarDensity100,-0.004957615531856752,0.00018022114866763858
OrientationRef100,0.001076474341445588,0.0001974298115299114
Coherency140,0.0030374016346124246,8.33190554863835e-05
Energy140,0.03658250539300577,0.0002718575558466011
MeanInt140,-0.0040722510861969765,0.0002548166762609852
VarInt140,0.011781666818582281,0.00019571571774906863
Density140,-0.049026220642299445,0.0007687424574320637
VarDensity140,-0.0022842038100447048,0.0002228921089658855
OrientationRef140,0.0064615805304894525,0.00017749600620586107
