,mean,std
Coherency20,0.026070165615837058,0.004164969491723992
Energy20,0.08002287954591657,0.013858167412914084
MeanInt20,0.013664335579696724,0.0019369916797495135
VarInt20,0.01887091158313982,0.004865384515595585
Density20,0.012686124331430633,0.01364276214207869
VarDensity20,0.009306714418426081,0.009912658295921098
OrientationRef20,0.01762166259373955,0.0020803240889193542
Coherency60,0.03530044707672956,0.010783040736654786
Energy60,0.08235588889202711,0.014215858889371717
MeanInt60,0.022394112982847734,0.008824322492569321
VarInt60,0.02664429970489912,0.014054190723999306
Density60,0.015728609273344244,0.014583329135148823
VarDensity60,0.009126084799753529,0.003064427994008888
OrientationRef60,0.026395610075327848,0.0038252398814554514
Coherency100,0.045945046919727964,0.016282849011061896
Energy100,0.07184070776103946,0.015452805735206073
MeanInt100,0.03206905102125176,0.012918760239539041
VarInt100,0.033167008165954685,0.013128015973305696
Density100,0.029256929035268112,0.022693451396020154
VarDensity100,0.02088486478732294,0.016474253328793168
OrientationRef100,0.030261382150830577,0.0036925332541683444
Coherency140,0.06350986179978216,0.012540846753993315
Energy140,0.07453886938839462,0.015908734852223418
MeanInt140,0.04248978076694917,0.008589002852580888
VarInt140,0.050392263304320936,0.014505984545726698
Density140,0.03804624880355841,0.025922695018756114
VarDensity140,0.03220032218678205,0.019567966689552588
OrientationRef140,0.03920981743570162,0.004222043979421795
