,mean,std
Angle20,0.0027495301603175817,0.0012123532363010933
Coherency20,0.004974294419642306,0.0023234284939178955
Energy20,0.035233959175687245,0.012068964021808234
MeanInt20,0.006361292332851493,0.0147505236158916
VarInt20,0.005406041638941811,0.0027316121194952575
Density20,0.0019563672222894157,0.0025525596581819623
VarDensity20,0.0007414955588085179,0.0005280090955178165
OrientationRef20,0.0026094993113689596,0.0009433714981572545
Angle60,0.005174365198240263,0.00206554848500623
Coherency60,0.01157738738105948,0.00887414142665041
Energy60,0.05668454989034552,0.05685425733873974
MeanInt60,0.008593329908765017,0.009480857177565026
VarInt60,0.006616189128396324,0.00414859126561188
Density60,0.06362451334901614,0.10826378008124758
VarDensity60,0.004731720366482899,0.009534714101364621
OrientationRef60,0.006193652282009598,0.00500825433756447
Angle100,0.006625543653919755,0.002268040684771076
Coherency100,0.01823594106760645,0.01181631204551413
Energy100,0.031222786053194094,0.018405384611194564
MeanInt100,0.013213516085666222,0.011624425375854324
VarInt100,0.013607570772862664,0.007053041105827756
Density100,0.06123146199732108,0.08771980254374126
VarDensity100,0.005176621439325726,0.006786355079599215
OrientationRef100,0.009847514148328348,0.015624264911076106
Angle140,0.007622143225716606,0.0020806091035104547
Coherency140,0.03774073863715581,0.02521950562307561
Energy140,0.03369629385180397,0.014678841129512723
MeanInt140,0.049277407870242124,0.08644159140945608
VarInt140,0.028806835571075332,0.061494447708283696
Density140,0.12881786348730162,0.10108373480016089
VarDensity140,0.012061244272072592,0.015134920668343701
OrientationRef140,0.041812261211193316,0.08510837245986874
Dist,0.2777760693309917,0.09558573112226543
