,mean,std
Angle20,-0.0015218910460912283,8.156555173311523e-05
Coherency20,-0.0030112721417069554,0.00016551669157690305
Energy20,0.021084070124266996,0.00013147297347133156
MeanInt20,-0.0010524716677301038,6.258040036674429e-05
VarInt20,0.0015480205389967415,8.669846609777603e-05
Density20,-0.000364597575426151,7.589703762525203e-05
VarDensity20,-0.0019171755841157268,0.00012346173341062604
OrientationRef20,4.527086561538774e-05,3.749455672408438e-05
Angle60,0.00755567708808067,0.00011489323948832412
Coherency60,0.0007140035852094661,0.00017214664989713202
Energy60,0.007881991918087061,0.00032220676844841315
MeanInt60,-0.008875520311123297,0.00028618845349791884
VarInt60,0.0018305836599519676,0.0001069922026811578
Density60,0.008631847598213449,0.0002688417854344578
VarDensity60,0.001328654331115342,0.0001093459304991586
OrientationRef60,0.0010567253061100402,6.48350678132042e-05
Angle100,-0.00018169112508736873,0.0001233480292622977
Coherency100,0.00014705435542183842,9.223870306052582e-05
Energy100,0.011623066873271937,0.00023508475391814443
MeanInt100,-0.0023264363625315363,0.0001284171717474838
VarInt100,-0.00352687387962205,0.00013544062478829002
Density100,0.02224440190806063,0.0003385942008390379
VarDensity100,0.002811047306535397,7.690954225861242e-05
OrientationRef100,-0.0005262358338650519,5.572302724146766e-05
Angle140,-0.0037650776289004486,0.0001285231592837912
Coherency140,-0.005791024823018276,0.00026001286593427356
Energy140,0.0056366785160878565,0.00010763350228148042
MeanInt140,-0.004605171208944814,0.0002706761871162169
VarInt140,-0.002030808495123526,0.0002671546422506595
Density140,0.040620727372162956,0.0004517661037441169
VarDensity140,0.004902622064229922,9.922034740762365e-05
OrientationRef140,-0.001069182389937129,0.00015659814848124006
Dist,0.05131710874122686,0.0005664021997791176
