,mean,std
Coherency20,0.019957914681757487,0.004852703388598645
Energy20,0.056757603918063095,0.014578812340092784
MeanInt20,0.010761096970260427,0.005173841198407133
VarInt20,0.013298554362389668,0.003253220825920903
Density20,0.005923680606981866,0.002285305020631314
VarDensity20,0.00535355007817151,0.0010476315436546246
OrientationRef20,0.020643716170811142,0.03844463853074679
Coherency60,0.021981348076174446,0.00566472201586821
Energy60,0.0690563528873517,0.0457259296977233
MeanInt60,0.05148725889103824,0.07863155482655038
VarInt60,0.017089141843663398,0.0036466960355910176
Density60,0.02896082208835703,0.02070495796880019
VarDensity60,0.008431046380431372,0.006115147575639981
OrientationRef60,0.026314127748727822,0.03950382263493298
Coherency100,0.03419488359183628,0.009326289064803915
Energy100,0.05593603422129625,0.04071658776102866
MeanInt100,0.03264397289895507,0.04405558819138391
VarInt100,0.022938773871980293,0.007409101577578009
Density100,0.07083705007526529,0.057627026449973216
VarDensity100,0.010394689191069003,0.007194364073442968
OrientationRef100,0.02276452502883378,0.0025664490090884446
Coherency140,0.04197834406579741,0.008741984951966241
Energy140,0.07075625651702153,0.05736152087990735
MeanInt140,0.04082359146435434,0.0431754648039972
VarInt140,0.04276497624884609,0.045764171121378455
Density140,0.15662326984868025,0.11470479467142955
VarDensity140,0.01647964792718071,0.00855403430440208
OrientationRef140,0.02484777034470454,0.002550264028349038
