,mean,std
Coherency20,0.0012566463099687342,0.00015855337428695006
Energy20,0.015399082429435185,0.00016747169837774266
MeanInt20,0.003966213958010533,0.0002189871432761581
VarInt20,-0.00464618843618021,0.00025575595195429705
Density20,-0.0009178743961352432,0.0001144557195681083
VarDensity20,0.00042445234405860124,0.00010845586308132866
OrientationRef20,-0.0025947194117825535,0.00022029760711003964
Coherency60,-0.002839607449943782,0.00023285929937888307
Energy60,0.017541093185063673,0.00024709556687612185
MeanInt60,0.021989183605262384,0.0002681543287779714
VarInt60,-0.0029726855649743087,0.0002082572499707055
Density60,0.0001640689089417835,0.00031317330590298163
VarDensity60,0.003559383830097551,0.00027268162100215485
OrientationRef60,0.003860784492449809,0.00025134416662273397
Coherency100,-0.005182450703369479,0.00022661437249804267
Energy100,-0.00020326314830003688,0.0003937153258208831
MeanInt100,0.010908455625436774,0.00032806480584810887
VarInt100,-0.0037826998450460336,0.0001660209471081928
Density100,0.085407893537508,0.0003708461253551876
VarDensity100,0.009577978306444279,0.00032640081934612943
OrientationRef100,-0.0003992343450915703,0.00024099473785836844
Coherency140,0.006031963054112377,0.00025050905563789576
Energy140,0.005485978184911755,0.0002575055967621284
MeanInt140,-0.003328472032327634,0.0001994358087638918
VarInt140,-0.0021076778172758326,0.00013673793128851216
Density140,0.115298818096193,0.0005910015766635672
VarDensity140,-0.0008963023729225194,0.00021000876609526424
OrientationRef140,0.0023838604806611595,0.00025598468789321646
