,mean,std
Angle20,0.013747708663389526,0.0020665692142312424
Coherency20,0.018598444161199722,0.003286734554538212
Energy20,0.07940980737632893,0.016554144409291455
MeanInt20,0.011082863819112734,0.0026534935579479437
VarInt20,0.020733811582889332,0.00894178014463179
Density20,0.006950926648786204,0.0035003562228334596
VarDensity20,0.005185012760918377,0.0010248481409170327
OrientationRef20,0.012952106850785617,0.003160388154657169
Angle60,0.01919870320441143,0.0031127500838862726
Coherency60,0.02611071907271003,0.007248984754066249
Energy60,0.08357480729553654,0.024290568220829967
MeanInt60,0.016509133278828438,0.004738948346605229
VarInt60,0.026289260002954024,0.009418654089732241
Density60,0.015171888589381616,0.012842589202792007
VarDensity60,0.010172418402543976,0.009780225646432036
OrientationRef60,0.020841543232108444,0.0053150274846417425
Angle100,0.025439866777007974,0.004393723864039719
Coherency100,0.03572145203526588,0.009540530848654702
Energy100,0.06782023109652335,0.022024568186899348
MeanInt100,0.023849208037820653,0.007822537285449944
VarInt100,0.03516370569346455,0.0108809428114196
Density100,0.022937846516104178,0.017222627822354536
VarDensity100,0.01381025936901215,0.013113723376143308
OrientationRef100,0.028841437573346618,0.007357085307078144
Angle140,0.026688281061597617,0.0038838121629847116
Coherency140,0.048129568470333124,0.0125487713257408
Energy140,0.06185370288010552,0.016913585677439783
MeanInt140,0.03002046651152334,0.0065600737015678754
VarInt140,0.04359952355051121,0.013928363264296287
Density140,0.0357400105604098,0.017617810921585646
VarDensity140,0.02654878764356892,0.019909437582408093
OrientationRef140,0.033071812701994316,0.007004814698961653
Dist,0.05423468457952587,0.005046062558063836
