,mean,std
Angle20,0.0014313158394731018,0.0003948688995385685
Coherency20,0.003273237771538373,0.00031020924268221003
Energy20,0.02906753361903358,0.0008086834608923441
MeanInt20,0.002354915662141921,0.0002724629380554259
VarInt20,-0.0002586079503472449,0.00030861763997591294
Density20,4.749941945156877e-05,0.0004469135688353807
VarDensity20,0.0004084950072832605,0.0001936597178410277
OrientationRef20,0.0009995988937913202,0.00027622363403758174
Angle60,0.002219806202368668,0.0003135885591733155
Coherency60,0.002966074859085088,0.0005243189665584063
Energy60,0.029542527813548946,0.0006709765094947014
MeanInt60,-0.002581857332854798,0.00036293479993822176
VarInt60,-0.004146171546792188,0.00035359261003488904
Density60,-0.0009404885051404688,0.0003028671759236326
VarDensity60,-0.0012381515337034576,0.0004757453814622946
OrientationRef60,0.0012940952943908623,0.00039337059792216066
Angle100,0.006824083261204594,0.0003060800700645263
Coherency100,0.0033608478118601014,0.0005386619394531723
Energy100,0.011350250163609122,0.0005900861080352161
MeanInt100,-0.003414680487238464,0.00029661499857246794
VarInt100,-0.0036215668475162778,0.0003824925977346675
Density100,-0.004762608457007711,0.0003839854687552794
VarDensity100,0.0006544364457767848,0.000507890447632689
OrientationRef100,0.005024383035318469,0.00022186492208509925
Angle140,0.005268213388503052,0.0004750985644891166
Coherency140,0.010247208089678916,0.0006820275959653514
Energy140,0.016603685954949467,0.000480103687464802
MeanInt140,-0.004476556397644005,0.0003474146714417266
VarInt140,0.0013563723110051385,0.0005940792486107753
Density140,-0.0028235766007304263,0.0004758203178528713
VarDensity140,-0.0022641389938567237,0.00028965944503311675
OrientationRef140,0.009973822542168952,0.0006735230668741425
Dist,0.015424644809896804,0.0005414645747490181
