,mean,std
Coherency20,0.02619764710041018,0.006573620378446302
Energy20,0.09242433598294603,0.014335701080525383
MeanInt20,0.013579270634968417,0.0025139681770661444
VarInt20,0.022951573612343873,0.008579528386739263
Density20,0.007175842909919468,0.0020885874013210387
VarDensity20,0.006103668824211281,0.0015399801925595957
OrientationRef20,0.016504877904289023,0.002448812703772726
Coherency60,0.02687637947429883,0.006074613656926017
Energy60,0.08559556525849074,0.022274963219379537
MeanInt60,0.02115982737008075,0.008653325221929657
VarInt60,0.03409769172361936,0.01582890426246352
Density60,0.015791476498600597,0.009625971237777321
VarDensity60,0.010150129006048707,0.007143790802160856
OrientationRef60,0.024069575704477205,0.005348592175370431
Coherency100,0.0424183021007232,0.009335105930225894
Energy100,0.0821039470549279,0.025419642369825385
MeanInt100,0.02661023799941318,0.00899559866101924
VarInt100,0.036807142282693654,0.014776498240743924
Density100,0.021714254140534833,0.015303407772986262
VarDensity100,0.018633557024732555,0.014844877554609786
OrientationRef100,0.031003221066283733,0.0071739623150866225
Coherency140,0.0522408457771363,0.01089704753749996
Energy140,0.07595267270697895,0.02319507040834476
MeanInt140,0.03922438633166526,0.012872064048345223
VarInt140,0.05824990641215687,0.016498381997814202
Density140,0.04009459878981383,0.025495409644548012
VarDensity140,0.03249350371967602,0.023568485770595303
OrientationRef140,0.03977556258855937,0.00917862865698244
