,mean,std
Angle20,0.00975770086262346,0.000910148148349213
Coherency20,0.02653787970510145,0.018675886679180645
Energy20,0.05894723886063865,0.03150190303289901
MeanInt20,0.0088916545054698,0.0019437474404429573
VarInt20,0.01747074706546626,0.005035003507801993
Density20,0.00793409355486913,0.011337241665388716
VarDensity20,0.005590432954913783,0.007082684060969194
OrientationRef20,0.009568129972086784,0.0009900072844644897
Angle60,0.01315040774770809,0.0008817875297535777
Coherency60,0.02063128938442908,0.006040904394847278
Energy60,0.08353830892736804,0.05958242902509679
MeanInt60,0.012908461065323184,0.003445643736857153
VarInt60,0.028263103453912617,0.02312885217216824
Density60,0.028059093846518078,0.02642337465644955
VarDensity60,0.006676516546938922,0.00579990101846431
OrientationRef60,0.014627793335526277,0.0025530094774912
Angle100,0.01626094702237687,0.00196012741139124
Coherency100,0.03186337602802233,0.014045503019850353
Energy100,0.13601124942139092,0.08686537686630563
MeanInt100,0.023788271476346275,0.017006386912036403
VarInt100,0.021921613894564547,0.0067047705010392965
Density100,0.030904871381990405,0.03055319416923801
VarDensity100,0.013133998806066412,0.012096882372558312
OrientationRef100,0.017825081157759583,0.0024749234045321946
Angle140,0.01795692464630397,0.0013569627336667105
Coherency140,0.03338171289511472,0.006651352700049038
Energy140,0.07581088904790967,0.05080516826961716
MeanInt140,0.03693478112615382,0.0205621963451736
VarInt140,0.03889618223252831,0.028272159578303292
Density140,0.03898140626573576,0.026689622936589164
VarDensity140,0.018515043665874566,0.009387603007326202
OrientationRef140,0.020746409574008653,0.0017582158898236029
Dist,0.07451438956895956,0.02449262313734262
