,mean,std
Angle20,0.001795904503105572,0.00014881312796629598
Coherency20,0.004608889751552781,0.00023714504176756154
Energy20,0.029256599378881955,0.00034253728789550715
MeanInt20,0.0019026591614906608,0.00012381825151615517
VarInt20,0.013655376552795018,0.00031656985393685325
Density20,0.001349961180124193,0.00012869242588705448
VarDensity20,0.0010185364906831972,0.00019299777163438655
OrientationRef20,0.001431968167701847,0.000137188069274425
Angle60,0.0034661296583850753,0.00016073447382916156
Coherency60,0.005149941770186317,0.00028717567228016863
Energy60,0.049426921583850925,0.0006527897506103375
MeanInt60,0.0033239518633540023,0.00016609395854190608
VarInt60,0.014490003881987557,0.00021097372587105704
Density60,0.003799980590062091,0.00026002661858938057
VarDensity60,0.0009069293478260798,6.573101743194831e-05
OrientationRef60,0.004547263198757723,0.00013064723073306808
Angle100,0.005204774844720483,0.0002472406315229544
Coherency100,0.008129852484472021,0.00031594257724794583
Energy100,0.042277270962732906,0.0004145410771503809
MeanInt100,0.008776203416149042,0.00022872863851845795
VarInt100,0.00518342391304345,0.00026440296900401045
Density100,0.0077503881987577294,0.00043688963372598763
VarDensity100,0.004097437888198741,0.00014984987460160871
OrientationRef100,0.007428183229813634,0.00029083186654460226
Angle140,0.006870632763975126,0.00015608791528514904
Coherency140,0.013496700310558996,0.0002697929001011168
Energy140,0.03306482919254657,0.00042931737632524177
MeanInt140,0.01732725155279501,0.00028860495597546223
VarInt140,0.020986995341614877,0.000434057380607253
Density140,0.018561238354037234,0.0003687342253844419
VarDensity140,0.006732822204968925,0.0003135414733455956
OrientationRef140,0.009304153726708054,0.00018960986055641257
Dist,0.04211859472049687,0.0006727643792936714
