,mean,std
Coherency20,0.0223238988470114,0.0071919452849113046
Energy20,0.07214176425024692,0.026547742606698153
MeanInt20,0.016692709543018023,0.012824546230328259
VarInt20,0.023123055496648746,0.00634275860760005
Density20,0.014378075786894658,0.019177031423490625
VarDensity20,0.00877335440170909,0.010129503250162895
OrientationRef20,0.011558675806685969,0.0016652029980243376
Coherency60,0.022357593523344346,0.0056039950251580845
Energy60,0.08740297034214826,0.04473654386929885
MeanInt60,0.016191888866669175,0.004807837290017418
VarInt60,0.029587850435457776,0.020567300078361418
Density60,0.023406472558946036,0.02060871774291609
VarDensity60,0.008451477326781089,0.010763528339961833
OrientationRef60,0.015580651195682712,0.0016829785643662442
Coherency100,0.03207113733777565,0.013980738832065182
Energy100,0.1051942427173036,0.09050596254476848
MeanInt100,0.0248554228059016,0.013163401475230097
VarInt100,0.041775673085543405,0.03410221442968947
Density100,0.018782932008417606,0.01833656554634604
VarDensity100,0.012256020551661334,0.007793582213225535
OrientationRef100,0.020603064374061453,0.001738488315884101
Coherency140,0.04440269838778819,0.012970821470551704
Energy140,0.15392852042673041,0.10261545940204886
MeanInt140,0.03385916157079256,0.017652339105462926
VarInt140,0.03335954503418702,0.009031699198234384
Density140,0.057862121348429905,0.03781839050354097
VarDensity140,0.02547263924841452,0.014801494154297516
OrientationRef140,0.023606382721748552,0.002408515246108072
