,mean,std
Coherency20,0.005158676242236049,0.00019892168097825446
Energy20,0.03404697204968946,0.0006246608368547551
MeanInt20,0.003041052018633572,0.00021199360089779105
VarInt20,0.022360733695652203,0.00031953122048671646
Density20,0.0030716226708074725,0.0003483259236486449
VarDensity20,0.0015668672360248602,0.00017816549463322575
OrientationRef20,0.0015178571428571708,0.0001312648623141399
Coherency60,0.004949048913043486,0.00025578117221316507
Energy60,0.04223020186335406,0.0005837512601072785
MeanInt60,0.0029600155279503213,0.000180470675731026
VarInt60,0.007540760869565244,0.00041835621073933515
Density60,0.005889945652173922,0.00018815880059934497
VarDensity60,0.0005609472049689646,0.00018429477939347442
OrientationRef60,0.0029255628881987962,0.00015191376710144288
Coherency100,0.006518827639751579,0.0003640087919590976
Energy100,0.026832783385093185,0.0005935009069520634
MeanInt100,0.009952930900621127,0.00025482197445133014
VarInt100,0.012850349378881997,0.00029091281822725244
Density100,0.003762131211180131,0.000189682494576387
VarDensity100,0.0025790954968944457,0.00016821051857997016
OrientationRef100,0.0071608113354037495,0.0002466671121392065
Coherency140,0.017562111801242265,0.0004628558026917135
Energy140,0.04415615295031058,0.0005903383913233424
MeanInt140,0.015265430900621135,0.0003942024706555826
VarInt140,0.011029697204968969,0.0004237694442723923
Density140,0.019010093167701893,0.00046487307761863307
VarDensity140,0.008699534161490718,0.000294764367963228
OrientationRef140,0.008616071428571449,0.00013654722311305737
