,mean,std
Angle20,0.006677009191248457,0.0007772566122911267
Coherency20,0.015125193211212808,0.0072707703775616
Energy20,0.04922003748590572,0.049132957351215395
MeanInt20,0.007049438132193913,0.004162381170246747
VarInt20,0.011170695290437007,0.003438898386974896
Density20,0.011895736141287003,0.01683615989155005
VarDensity20,0.004474758587684531,0.005598232939362237
OrientationRef20,0.0063377117422881305,0.0010666559357935719
Angle60,0.0085690273426736,0.0009912687015335838
Coherency60,0.014895743002224817,0.008400494209410858
Energy60,0.08246097331064847,0.06759602082487795
MeanInt60,0.013455062347178713,0.011002028855901552
VarInt60,0.03188462618510538,0.044680444530382196
Density60,0.02689462088440074,0.018695870125558223
VarDensity60,0.0070361393850546855,0.007272257480847023
OrientationRef60,0.009890602135311377,0.0015838911484650758
Angle100,0.012947247860655457,0.009147112693600131
Coherency100,0.018853441090960647,0.007910265679818803
Energy100,0.09073598201287573,0.08560626234745781
MeanInt100,0.029224186575498575,0.030890180187669477
VarInt100,0.015379118382706329,0.005064550138872591
Density100,0.05226455822806818,0.03914097042470881
VarDensity100,0.008128149921083459,0.004947061699275084
OrientationRef100,0.012086238280722021,0.0012754073512717516
Angle140,0.012648691702615044,0.0018065172667356443
Coherency140,0.02967296259951506,0.024530250476658855
Energy140,0.05698320011585908,0.05588651049147697
MeanInt140,0.03085813239552809,0.028764730230573098
VarInt140,0.04766780280561063,0.05970532255724557
Density140,0.09323741476598042,0.07505660399438963
VarDensity140,0.014672599260743923,0.01356372475182794
OrientationRef140,0.01489205623752007,0.0024560277225621485
Dist,0.15271084338920207,0.04312734812655387
