,mean,std
Angle20,-0.004519951459775906,8.943797206568998e-05
Coherency20,-0.00014080234135204205,0.00014807487556199253
Energy20,0.001508316082518313,0.0001987462973295947
MeanInt20,-0.003229709472482023,0.00015858526874074124
VarInt20,0.0018737954172317385,0.00023902142440431192
Density20,-0.005109037047612297,0.00020084182460592686
VarDensity20,-0.0016307373831108917,0.00014563816712949375
OrientationRef20,0.0010553929616674562,0.00010661559846943056
Angle60,-0.0034508173317153723,0.000125687376313239
Coherency60,-0.0010741309158398883,0.00011405170758913924
Energy60,0.010403847526590026,0.0002597418204043486
MeanInt60,-0.013928367478049864,0.00025979698878821815
VarInt60,-0.0023909629523877983,0.0003007001327881677
Density60,0.011018987793561252,0.00017122769862418845
VarDensity60,0.002923299307587934,9.967234412909821e-05
OrientationRef60,-0.0015490042115783088,7.785295258487047e-05
Angle100,9.065600685268516e-05,0.00015106083496989025
Coherency100,-0.003020201299164882,0.00016813084341119058
Energy100,0.0009931115711327987,0.00022224309253538667
MeanInt100,-0.009888107645085343,0.00021250057809536697
VarInt100,-0.008898743664786967,0.00028939301264794713
Density100,0.023589656649296853,0.00027070423611978353
VarDensity100,0.000982047255335805,0.00013090270789772217
OrientationRef100,0.0001479406096080771,0.0001064668881620868
Angle140,0.0020026411592547365,0.00012101891250952585
Coherency140,0.0006126418730815319,0.00012974195301590158
Energy140,0.0003381754586336827,0.0003767510176155829
MeanInt140,-0.002899921479049228,0.000113501832330048
VarInt140,-0.0033287529445356957,0.00028211409018495616
Density140,0.035938325362267064,0.0002637529748935553
VarDensity140,0.001350381897351649,5.860910569059169e-05
OrientationRef140,0.001408023413519832,0.0001533544424482966
Dist,0.03937611535441497,0.0002941925786449084
