,mean,std
Coherency20,0.02881659647835159,0.04067134836537703
Energy20,0.04984196155069725,0.039021325148762866
MeanInt20,0.014222812655894054,0.013717115607817642
VarInt20,0.016012642155136474,0.0032454356562082094
Density20,0.005963613337150181,0.007949149519059886
VarDensity20,0.005886333066849095,0.006712442703776369
OrientationRef20,0.008215089840143472,0.0012424421312174094
Coherency60,0.01473309825665215,0.0037376698554465733
Energy60,0.07412798712271651,0.06109337356292937
MeanInt60,0.0133418360515296,0.01257237480060808
VarInt60,0.020676406823310466,0.01247278689535493
Density60,0.035023307326489964,0.03443549929368749
VarDensity60,0.00539663202848837,0.0030730170878632583
OrientationRef60,0.012250283002641232,0.003370472780653121
Coherency100,0.022041679822688,0.00825085484097836
Energy100,0.1112462387079561,0.12111532594604621
MeanInt100,0.026384306328275837,0.03196933730960709
VarInt100,0.04097309628853278,0.05426190243313296
Density100,0.07041384209477387,0.06442541679839965
VarDensity100,0.006405690081971669,0.0022366412600151007
OrientationRef100,0.014608845493666287,0.002338803913255426
Coherency140,0.03104316532069043,0.0073665626912443665
Energy140,0.15562025165238028,0.1298808186568065
MeanInt140,0.02949338085469677,0.015145792296614337
VarInt140,0.02849151353966691,0.010907879688244141
Density140,0.1253689040528005,0.06831897970184085
VarDensity140,0.015501599973262278,0.0071987759771456605
OrientationRef140,0.017898886092587895,0.004484207320985944
