,mean,std
Angle20,0.0094690823278973,0.0009413382999514283
Coherency20,0.026016377022630665,0.016975794611693785
Energy20,0.06299559519923917,0.0354743942917738
MeanInt20,0.010152805126828604,0.0029418791174159733
VarInt20,0.016242182976540825,0.0031829135464657454
Density20,0.007612646436466303,0.011998952668804271
VarDensity20,0.005082933065370162,0.004849106115905691
OrientationRef20,0.009085546153863642,0.00115998193507811
Angle60,0.013207531075951864,0.0015920915013245725
Coherency60,0.02535382976793037,0.013931543862599451
Energy60,0.09247668322909412,0.059575830744571845
MeanInt60,0.014866580372330417,0.006979026660497259
VarInt60,0.02797243060415978,0.02648199732288685
Density60,0.019582779200516848,0.025700039584043714
VarDensity60,0.00883845668072095,0.010402867493063243
OrientationRef60,0.012603893357967286,0.0014349596375811604
Angle100,0.015837979758400966,0.0014788641476560194
Coherency100,0.028022077222618482,0.007112642257899882
Energy100,0.11551598192940324,0.08399008037660552
MeanInt100,0.01758690478551632,0.004332852187325714
VarInt100,0.025619996144221086,0.008791678805935968
Density100,0.037975679709702066,0.0315657653915639
VarDensity100,0.013034034757554751,0.010443898666416212
OrientationRef100,0.01616777631636776,0.0015904812509133308
Angle140,0.018012452163797515,0.0013541650378580937
Coherency140,0.03799383320502016,0.01940164011674486
Energy140,0.07118717320514553,0.042689748839333
MeanInt140,0.03741681865441836,0.023645717753514678
VarInt140,0.03933639575298469,0.027759338919882717
Density140,0.04559112776227869,0.02589698481362743
VarDensity140,0.01598654019556789,0.0059113510191429915
OrientationRef140,0.01938049253472586,0.0029712208956856265
Dist,0.08377538330476846,0.03212799739126644
