,mean,std
Angle20,0.0012829968944099823,0.00011345270582345736
Coherency20,0.0036049107142857584,0.000262334573739834
Energy20,0.022274359472049733,0.0002910281354693118
MeanInt20,0.0004546777950310887,0.00018963283329709736
VarInt20,0.015971952639751597,0.0003090179306832702
Density20,3.590838509318628e-05,9.412318987735794e-05
VarDensity20,0.00038189052795034595,0.0001669289923161271
OrientationRef20,0.0012111801242236208,7.752441938487158e-05
Angle60,0.0031798330745341774,0.0002296209803500943
Coherency60,0.004701086956521749,0.00017904023830849912
Energy60,0.02997719332298141,0.0004354603992250879
MeanInt60,0.002828998447205011,0.00022217809045477397
VarInt60,0.00962102096273294,0.0003027969751540059
Density60,0.0013989712732919602,0.00027247510486259945
VarDensity60,0.0017260287267081066,0.0002168800007278074
OrientationRef60,0.0026659549689441175,0.00010704541151106962
Angle100,0.005043187111801272,0.00020206446865374966
Coherency100,0.006453319099378918,0.0001744257250723599
Energy100,0.03127814440993791,0.0007159603636720094
MeanInt100,0.004555512422360275,0.0002827945353623846
VarInt100,0.006054444875776432,0.0003116341691833298
Density100,0.0035806482919254813,0.000319847935234018
VarDensity100,0.0017565993788820067,0.00014435631580595842
OrientationRef100,0.006634802018633567,0.00032099138935219395
Angle140,0.006080648291925483,0.00015935739274103717
Coherency140,0.01119710791925469,0.00032550912889016637
Energy140,0.024170710403726738,0.00047391386587189454
MeanInt140,0.01086228649068326,0.00025256470808338955
VarInt140,0.012253493788819925,0.0002883110907572277
Density140,0.014788431677018665,0.00040769649305843076
VarDensity140,0.0036408190993789,0.00016265669818271326
OrientationRef140,0.007790663819875809,0.00023123756013369515
Dist,0.03501407220496898,0.0004912816419222935
